Nama Pengguna,Teks Ulasan,Rating Bintang,Tanggal Ulasan,Jumlah Likes
Pengguna Google,"gwa ga butuh event duoble&triple relic/planar, YG GWA BUTUHIN RATE SUBSTATS SETIAP RELIC/PLANAR TU YG BENER2 DI BUTUHIN, GILA COK NGEBUILD 1 KARAKTER DOANG SAMPE BERBULAN2, TIAP FARMING AMPAS MULU, UDAH ITEM SETING SUBSTAT NYA MAHAL JUGA, GARA2 ITEM INI FARMING JADI SERING ISSUE MULU NJENG, CAPEK GWA UDAH NGIKUTIN META, POWER CREEP NGERI, FARMING SUBSTATS AMPAS MULU, TOLONG LAH... RATE SUBSTATS NYA YG BAGUS DI GEDEIN KEK",2,2025-06-26 18:04:40,0
Pengguna Google,"sistem top up buruk sekali. hubungi cs juga tidak ada gunanya, tidak ada solusi. fitur keamanan akun juga jelek. apabila top up lalu ke akun entah siapa pemiliknya kita tidak kenal. sangat tidak rekomendasi untuk orang yang mau top up. saatnya dihapus",1,2025-06-26 16:29:09,1
Pengguna Google,"tolong dibuat lebih ringan gamenya seperti pgr dan tolong tambahkan fitur ""ambil semua"" di achievement",4,2025-06-26 15:03:29,4
Pengguna Google,sukaaaa,5,2025-06-26 14:19:30,0
Pengguna Google,login error kode 100_1,1,2025-06-26 13:50:03,4
Pengguna Google,"banyakin lagi event nya, udah itu aja",5,2025-06-26 09:24:20,0
Pengguna Google,hoyoverse kasih aku blade gk kasih blade otw pensi😊👹,5,2025-06-26 09:12:28,0
Pengguna Google,"idk what happen with my game, but I can't log in, nothing wrong with my connection, already play from 1.0 but never fail to log in gg, this is my first time",1,2025-06-26 09:01:31,0
Pengguna Google,gem baik,5,2025-06-26 08:38:22,0
Pengguna Google,recomend buat yg suka game turn base bagus ini tiap patch makin bagus+devnya juga mantap selalu ngeimprove gamenya setiap patch juga ga kayak game sebelah,5,2025-06-26 06:20:01,0
Pengguna Google,"Saya download lagi, tetapi tidak bisa masuk. Stuck di loading screen kereta. Tolong perbaiki, terimakasih.",1,2025-06-26 05:15:39,5
Pengguna Google,minimal kagak kebanyakan rate off,1,2025-06-26 05:04:40,0
Pengguna Google,karena saya suka,5,2025-06-25 11:39:39,0
Pengguna Google,"Saya mau saber E6 Hanya dengan 450 Pull, Tolong dipermudah 😁",5,2025-06-25 10:42:13,0
Pengguna Google,"sebagai pemain, gua memberikan masukan kalau cutscene tolong jangan agak ngeleg dong.",5,2025-06-25 08:50:38,0
Pengguna Google,good,5,2025-06-25 06:42:49,0
Pengguna Google,ngatuk ceritanya panjang,2,2025-06-25 06:37:31,0
Pengguna Google,game baik i love u honkai star rail,5,2025-06-25 05:37:10,0
Pengguna Google,suka banget!! belum lagi char cwo nya ganteng ganteng contohnya dr ratio.... 5 star sampo when?,5,2025-06-25 05:02:53,1
Pengguna Google,capek tap storynya yg bertele-tele,1,2025-06-25 04:01:43,0
Pengguna Google,banyakin bansosnya plis jangan pelit seperti impact impact,5,2025-06-25 00:26:20,0
Pengguna Google,Story bagus dan juga pengalaman saat main juga sama seru juga,5,2025-06-24 20:28:14,0
Pengguna Google,game baik bintang 5 (gip b5 5 biji dong),5,2025-06-24 19:21:19,0
Pengguna Google,kurangi power creep sama HP inflation. abis itu jadi game perpek,1,2025-06-24 14:30:49,0
Pengguna Google,"Game nya Bagus Banget, Ost nya Bagus, UI nya Lucu, dialog nya Lucu, semua nya bagus. Tolong lah cuma 1 Rajin rajin kembangkan bintang 4 dong Rusak nih ekosistem karakter nya Pokonya harus rilis 4 Star yang banyak di Versi 4, saya mengerti bahwa tidak hormat jika merilis Crysos Heirs sebagai 4 Star, tapi tolong jika Amphoreus sudah tamat tolong rilis karakter Bintang 4, saya minta tolong soalnya ekosistem Bintang 4 dan 5 Sudah Rusak, jadi saya mohon perbaiki sampai balance dan kurangi 5 Star ya.",3,2025-06-24 14:10:20,5
Pengguna Google,gila karakternya di mati in semua jirr di region terbaru,5,2025-06-24 12:13:32,0
Pengguna Google,"Apalah game ngebug ""memeriksa update data"" jelas jelas jaringan gw bagus, tapi katanya ""pengunduhan gagal"" hadeh. Capek gw, mana harus relog 3x baru lancar lagi. Relognya 2-3 menit kocak.",5,2025-06-24 11:38:58,3
Pengguna Google,"bansos gacor, gacha ampas",5,2025-06-24 09:24:31,0
Pengguna Google,absolute game i don't care what people say this game is still a masterpiece,5,2025-06-24 09:22:34,0
Pengguna Google,Panjang panjang game baik,4,2025-06-24 08:42:10,0
Pengguna Google,hoyoverse sgt baik langsung kasih b5 cipher makasih hoyo sehat sehat game baik 💐,5,2025-06-24 06:48:16,0
Pengguna Google,grafisnya bagus si tapi tolong size datanya kurangin besar banget data nya minimal 15GB data nya tolongnya udah gak kuat tapi aku pengen banget main honkai,4,2025-06-24 04:24:21,0
Pengguna Google,The story was so beautiful. Could you give Amphoureus a happy ending(・∀・)?,4,2025-06-24 00:47:10,0
Pengguna Google,Ayolah hoyo jangan rate off Mulu T T,5,2025-06-23 23:24:11,0
Pengguna Google,ᗜˬᗜ 👍,5,2025-06-23 22:14:18,0
Pengguna Google,"Banyak kemunduran dalam perkembangan game ini, story yang membosankan (No skip button) dan sedikit sekali cut scene, karakter lama yang hampir tidak bisa digunakan dalam endgame content, dan tidak ada karakter bintang 4 terbaru",1,2025-06-23 15:08:46,49
Pengguna Google,"keren, kurang di relic nya aja, ampas jir",4,2025-06-23 14:52:36,0
Pengguna Google,castorice istri gw bg btw banyak powercreep tapi waifu no 1 saya tidak peduli meta,4,2025-06-23 14:41:07,0
Pengguna Google,mantap rate off,1,2025-06-23 14:10:30,0
Pengguna Google,"The game is good, but the MC can't be changed, Mihoyo made the MC able to change Mihoyo, seriously, if I'm a man and my MC is a woman, it's okay, but if I'm a man and the MC is a man, that's dangerous.",5,2025-06-23 13:39:57,0
Pengguna Google,"game ini sudah bagus dari segi grafik dan story namun knp selalu patah"" di bagian loading kereta,",5,2025-06-23 13:31:42,0
Pengguna Google,"story penacony banyak yapping nya dibandingkan gameplay nya udh yapping berapa jam lanjut yapping lagi, terus-terusan tu yapping gw udh jalanin story penacony pake akun satunya please honkai kasih fitur skip dari patch 1.0-3.4 gw udh muak sama story penacony yang ceritanya banyak gambar gabisa di skip biar pindah² kamera dulu gw liat penacony story di YouTube hampir 20 jam anjir lama² bikin gila ni story penacony dan bikin hp gw overheat panas gila",2,2025-06-23 12:23:02,0
Pengguna Google,ini terlalu bagus saya bingung memilih antara genshin impact atau honkai star rail,5,2025-06-23 12:19:50,0
Pengguna Google,"ini game sebenarnya bagus dari segi visual, audio, bansos, story dan gameplay yang asik karena saya sebenarnya lebih suka game dengan gameplay turn base, namun ada masalah di bagian power creep yang cepat, Stellar jade yang di kasih cukup banyak namun power creep nya cepet banget, saya sebagai player f2p jadi harus bener² mikir keras kalau mau gacha karakter, walau begitu game ini seru asalkan... husbu saya jangan di bunuh dong, huhu Mydeimos 💔",5,2025-06-23 11:46:10,2
Pengguna Google,really dude? casto cant clear MoC fl 12 less than 5 turn? its only been 2 patch since her release and yet she already underperform. cant believe it,2,2025-06-23 11:10:09,0
Pengguna Google,bagus👍🦏,5,2025-06-23 11:06:34,0
Pengguna Google,"kenapa sekarang close tab bentar aja relog, dulu semalem kalo belum di close bener bener dari malem ke pagi pun langsung login ke game menghubungkan, sekarang baru bbrp menit doang udah relog jadinya lama bikin males aja",1,2025-06-23 06:13:20,0
Pengguna Google,"bagus ,untuk ukuran turnbase bagus banget,1 kekurangan turnbase itu gameplay nya yg ngebosenin,tapi untuk HSR itu bisa ditutupi dgn gameplay karakter yg bagus2 dan animasi yg wah banget mungkin bisa ditambahkan opsi skip cerita,,karna saya org lebih mentingin gameplay",3,2025-06-23 05:39:30,4
Pengguna Google,kebanyakan yapping bngst,1,2025-06-23 05:37:48,0
Pengguna Google,"Kupikir pada update-an kedepannya bisa lebih memperbanyak visual cut scene dibandingkan dialog yang sangat banyak, kadang itu memang penting tapi sangat bosan 😕 terutama pada update story Amphoreus, terlalu banyak dialog dan puzzle yang agak mengganggu feeling buat main story nya sendiri, ku harap update-an selanjutnya lebih memperbanyak visual cut scene nya. Terimakasih Permasalahan GLOBAL PASSIVE gue gak suka, sekian. HP INFLATION TERLALU GELOOO",1,2025-06-23 03:43:40,1520
Pengguna Google,"Best gacha game yg rotasi metanya jelas. Efek sampingnya emang jadi agak susah buat ngikutin endgame content, tapi seenggaknya masih bisa diikuti daripada roda meta game-game lain yang terbilang lambat bahkan stagnan yg mana new chara nya gabisa ngalahin meta old chara, biasanya butuh 1-2 thn sampe metanya berputar. Game ini enak juga kalo buat santai apalagi kalo punya kesibukan yang banyak, jadi bisa auto battle sambil ditinggal melakukan banyak tugas.",5,2025-06-23 02:32:32,1
Pengguna Google,"Maksudnya apa ya, udh explore map hampir full 100% semua sama nabung sj capek2 malah dikasih hard pity + kalah rate off banner char sama lc 😒",3,2025-06-22 23:48:25,45
Pengguna Google,"you got a free game with amazing soundtrack and lore and cutscenes in the boss fight, that's more than enough for me",5,2025-06-22 23:45:34,0
Pengguna Google,top waifu karbit 1.castorice 2.firefly 3.the herta,5,2025-06-22 19:44:20,0
Pengguna Google,"Sebenarnya ini game sudah bagus untuk tipe game gacha, hanya saja kurang 1 aja, ya itu fitur skip cerita yang memang dari dlu bermain game kakak² nya juga sama, tapi tolong untuk di tambahkan fitur skip ini karena penting untuk para pemain yang sudah kembali dan ingin cepat menuntaskan semua event yang ada (apalagi ini game memang menyimpan semua event biar tidak ketinggalan hadiah nya). Saya memang bermain ini game dari awal rilis dan sempat tidak bermain jd sangat dimohon untuk disediakan.",4,2025-06-22 16:32:09,0
Pengguna Google,"game baik,santai dan banyak banson, apalagi design characters nya keren '' bintang lima pokonya",5,2025-06-22 11:39:45,0
Pengguna Google,Papi hoyo... hidupin anaxa lagi dong 🥺🥺,5,2025-06-22 10:14:49,0
Pengguna Google,"bagus banget game nya,saran mending kalo ada ceritanya jangan bolak balik terus mending langsung plong lurus,dah segitu aja,dan tambahin fitur interaksi antara player dan karakter",5,2025-06-22 08:43:42,0
Pengguna Google,"semuanya udh bagus tapi percakapan per dialog di story pas nyalain mode auto nya agak lama, dah itu aja moga dicepetin dikit",5,2025-06-22 05:29:42,0
Pengguna Google,"overall game nya udah bagus menurut ak, dan Msalah story gak bisa di skip gak terlalu jadi masalah buat ak tapi yg jadi fokus utama ada di size game nya yang menurut ak terlalu gede untuk ukuran game berbasis mobile ya itu 28+gb kalo bisa please sediain solusi buat compres size nyaa soalnya terlalu makan banyak penyimpanan buat developer semoga ajaa masukan ku di liat, trimakasih 🙏",5,2025-06-22 02:35:13,1
Pengguna Google,"game nya sangat bagus sebenarnya, cuman untuk story ke atas terlalu banyak Yapping. informasi yang tidak berpengaruh dalam story sangat melambatkan story walaupun itu kemudian Foreshadow dari story kedepannya",4,2025-06-21 20:32:01,0
Pengguna Google,terimakasih gem baik😛😛😛😘,5,2025-06-21 16:11:47,0
Pengguna Google,kasih anaxa s1 ku kasi rating b5,5,2025-06-21 15:42:15,0
Pengguna Google,"SO COOL, PEAK GAMEPLAY",5,2025-06-21 12:45:34,0
Pengguna Google,Tolong adain fitur skip scepatnya udah malas yapping mulu,1,2025-06-21 11:33:32,16
Pengguna Google,"gak pelit, udah itu aja sih",5,2025-06-21 11:23:16,0
Pengguna Google,game yang sangat bagus. aku mendownload game ini karena aku ingin mendapatkan chiper,5,2025-06-21 11:17:16,0
Pengguna Google,Butuh fitur skip biar ga ngantuk dan bosen,1,2025-06-21 11:07:06,0
Pengguna Google,update lama download nya bosen main nya kata nya tidak cukup ruang,1,2025-06-21 09:16:29,0
Pengguna Google,saran ku sih kedepan nya tambahin fitur ngobrol di handphone yang bebas gitu kayak chat duluan character yang di chat ngebales jadi biar bisa ngobrol sama Firefly🥰,5,2025-06-21 07:49:32,2
Pengguna Google,Turu base,1,2025-06-21 06:40:34,0
Pengguna Google,ini kok dowload sumber data selalu pesan eror trs ya?.. pdhl penyimpanan msh bnyak dan jaringan nya bagus,1,2025-06-21 06:30:44,0
Pengguna Google,story mantab apalagi musiknya,5,2025-06-21 03:09:28,0
Pengguna Google,"agak kecewa karena makin update makin gak bisa login game, padahal awal awal main bisa, sampai baterai hp berkurang sampai 15% buat login game doang, belum lagi in game nya behhh makin boros baterai, ya okelah in game boros yg penting login game jangan lama lama dong",4,2025-06-21 02:51:36,1
Pengguna Google,kapan tombol skip,4,2025-06-21 00:22:27,0
Pengguna Google,"Bagus, saran aja tambahin fitur farming artefak otomatis jadi misal mau farming 10x nanti otomatis gitu, gausah pencet2 lagi hehe, kadang sedikit malas 🤭. MENANGKAN RATE OFF HYVSS PHAINON PULANG PLISSS",5,2025-06-20 22:39:03,0
Pengguna Google,"Game bagus,baik, tidak pelit the best pokoknya, tapi kalo event itu harusnya ketika waktu event itu berakhir harusnya langsung update, jangan update nya besok, saya menyarankan update nya itu langsung jangan nunggu besok itu aja",5,2025-06-20 22:31:58,2
Pengguna Google,semoga win saber 50/50,5,2025-06-20 19:28:23,0
Pengguna Google,"saya main dari game ini awal rilis dan sejujurnya saat ini bisa di bilang performa game ini di hp saya sudah sangat optimal,namun ada masalah yang sebenarnya cukup mengganggu saya, yaitu saat mengubah setelan frame rate dari 30 ke 60 dan potongan adegan di putar,itu pasti mengalami crash/audionya juga,saya harap developer bisa lebih mengoptimalkan lagi kedepannya tentang hal yang saya sebutkan terima kasih....(love this game so much)",5,2025-06-20 15:33:57,10
Pengguna Google,"The story is just peak, especially penacony. If you want to experience the best of hoyoverse game, play this game instead. edited: peaknacony after all boring yapping before climax and epilogue and oh my god amphoreus is extremely boring, i felt asleep a total of 3 times i stopped playing in 3.3",1,2025-06-20 13:08:34,0
Pengguna Google,"perfect graphics, in terms of gameplay is also perfect, no minuses, this is a perfect game",5,2025-06-20 12:33:18,0
Pengguna Google,PEAK STORY,5,2025-06-20 08:06:53,0
Pengguna Google,keren,5,2025-06-20 07:49:05,0
Pengguna Google,overall good,4,2025-06-20 05:54:24,0
Pengguna Google,kurang bintangnya aku tambahin. game sebagus ini juga,5,2025-06-19 22:06:03,0
Pengguna Google,Tolong di perhatikan story telling nya!,5,2025-06-19 17:48:41,0
Pengguna Google,SETIAP LOGIN KOK ERROR TERUS TOLOL,5,2025-06-19 14:36:02,0
Pengguna Google,LANGSUNG BINTANG 5 AJA WAK NO COMMENT,5,2025-06-19 06:41:46,0
Pengguna Google,"bagus, gak pelit n banyak animasinya. alur ceritanya juga bagus gak neko². developer juga baik",5,2025-06-19 05:56:18,0
Pengguna Google,Can't login,1,2025-06-19 03:08:42,1
Pengguna Google,game RPG turn base terbagus saat ini🤤,5,2025-06-18 21:40:53,0
Pengguna Google,Powercreep aja terus,1,2025-06-18 17:58:21,0
Pengguna Google,Goood~,5,2025-06-18 14:49:32,0
Pengguna Google,Game nya bagus banget,5,2025-06-18 14:39:03,0
Pengguna Google,we need more 4 star characters!!!,1,2025-06-18 09:51:21,0
Pengguna Google,"baru main udah nabung sampe 80x pull buat aglaea tapi gak dapet² 🥲, bikin malas main, cerita udah bagus grafik udah bagus masa gacha scam",3,2025-06-18 08:30:56,0
Pengguna Google,"game nya seru banget apalagi alur cerita nya gak bosan dan cut scene nya bagus tapi di hp saya nge lag🥀🥀 gameplay nya bosan tapi gak apa lah, plis sistem gacha nya jgn pelit kek genshin",4,2025-06-18 07:56:10,0
Pengguna Google,"Setiap update data males, sudah bngt padahal udh kosong memori sampe berulang kali dicoba tetep gk bs males. Hrus nunggu lama bngt, udh makan 10gb kuota buat unduh berulang kali jg tetep gk bs.. Ilang sia sia kuota gw.!!",5,2025-06-18 06:43:25,506
Pengguna Google,battle di alur cerita diubah lah karakternya tiba tiba battle belum ganti team 3 support 1 healer/dpsnya yang keganti kan kocak kasih notif atau edit team sebelum battle,5,2025-06-18 04:38:20,0
Pengguna Google,"netral aj sih, tp klo soal relic beda cerita emng gada hubungan nya sih, tp entah knp klo ngeup relic ko dpt ampas trs yh... jdi sebenarnya relicnya bgs entah knp agak kurang dmgnya mungkin kena powercreep jg mkny dmgnya ga maksimal :)",3,2025-06-18 01:52:20,0
Pengguna Google,"gamenya sruu caracterny padaa lucuu"" lg >< eventnya seruu tpi kdg jg susah, kyk yg chimeraa"" itu tuhh ;-; QUESTNYAA MENARIKK JG SUKAA BGT YG DIPENACONY, btw perwarnaanya castoricee cantik bgt, basic attackny sm skillny jg tpi kalau ultinyaa tuh y ngelag bgt >:3, tpi memoriny jangan kebanyakan dong! ku uninstall tauu lama"" , overall baguss banget sihhh worth it buat didowload!!",5,2025-06-18 01:15:16,13
Pengguna Google,Gamenya terkadang masih ada bug ketika memasuki alur ceritanya terkadang terjadi gerakan yang terus berulang sehingga membuat gamenya eror padahal spesifikasi hp saya sudah mempuni,5,2025-06-17 20:48:28,2
Pengguna Google,"pernah download dulu, tapi udh hapus krna hp ga kuattt. iya sih ada harga ada kualitas cuman kalo gw mau download hsr pasti harus hapus genshin😭 hp gw kgk tahan gilak, btw gw RAM 8GB/256GB, pokoknya masalah device aja sih. sisanya bagus bgt dan menurut gw wajib download. (ini game powercreep mampus ya, jadi gacha karakter yg klean suka aja🗿 ujung2 nya ada karakter yg ngerubah meta hsr)",4,2025-06-17 20:38:16,0
Pengguna Google,menunggu skip story,4,2025-06-17 19:21:52,0
Pengguna Google,min konten pvp moga di Adain biar g jenuh,5,2025-06-17 18:41:45,0
Pengguna Google,"suka bangett ama gameplay, story, quest, semua deh ❤❤❤ overall bagus semuaaa",5,2025-06-17 09:55:23,0
Pengguna Google,suka error 1001_1 mulu cuy berjam jam pula jadi males w,1,2025-06-17 08:42:21,1
Pengguna Google,"potret player yang ga pernah ngeluh tentang meta thanks for Honkai star rail ""I love you all my waifu""",5,2025-06-17 05:21:58,0
Pengguna Google,game tolol udah 3.x sekian belum ada B4 👎👎,2,2025-06-17 05:10:20,0
Pengguna Google,"yey, skip button",5,2025-06-17 04:02:05,6
Pengguna Google,"game ini seru story nya apalagi lagu nya ,tapi kembangkan game ini hoyo!This game has a lot of potential to be upgraded such as story, graphic, and story telling. Well if Hoyo doesn't feel lazy.. udah bnyak game yang pakai grafik bagus .masa ketinggalan? game fav pulaan",5,2025-06-16 14:51:38,1
Pengguna Google,"Gamenya bagus, dari segi karakter maupun gameplay, dan story juga, tetapi untuk pengisian trailblazer power harus lebih dipercepat lagi🙏🏻",4,2025-06-16 14:43:04,1
Pengguna Google,"HIKS KENAPA HARUS MYDEI??? KENAPA HARUS DIA YANG MATI, HOYO?...😞😞😞😞",5,2025-06-16 14:41:25,0
Pengguna Google,Penyakit Powercreep gila,4,2025-06-16 14:31:07,0
Pengguna Google,game anti kikir GK kaya genshin impact yang kikir,5,2025-06-16 11:46:23,0
Pengguna Google,game baik,5,2025-06-16 11:22:43,0
Pengguna Google,"aku comeback lg main star rail. sangat ketinggalan jauh banget. tapi yang bagusnya ini game char laucha, blade, selle, aku msih tetap aman lanjutin story nya dan hadiah comeback nya banyak banget. wkwk",5,2025-06-16 07:46:12,0
Pengguna Google,"GAME BAIK,BINTANG 5 🌟🌟🌟🌟🌟",5,2025-06-16 06:47:19,0
Pengguna Google,sistem stats sama sub stats relic sangat buruk.,2,2025-06-16 04:44:24,0
Pengguna Google,bagus,5,2025-06-16 04:11:54,0
Pengguna Google,"bagus tapi yaah,hp saya tidak menguati jdi yasudah lahh ,saya juga malas untuk mengunduh data yang lama nya minta ampun,tapi bagus banget kok ^^",5,2025-06-16 04:01:16,0
Pengguna Google,"awalnya kecewa karena kelamaan up date... tapi pas main gamenya asik sekali... tapi lagi, banyak sekali ngambil penyimpanan... terpaksa di uninstall 🙂",5,2025-06-16 03:47:42,1
Pengguna Google,"apaan ga bisa di donwload data mulu , padahal udh pake wifi trs jaringan lancar , kocak dari tadi subuh nungguin ga bisa trs , ngulang trs dari awal gmn si",3,2025-06-16 01:33:03,0
Pengguna Google,amazing,5,2025-06-16 00:57:50,0
Pengguna Google,game rpg turn base terbaik yang pernah saya mainkan,5,2025-06-15 19:13:12,0
Pengguna Google,"woy admin, kalo bisa update kedepannya tambahin fitur duduk lah masa karakter berdiri Mulu",5,2025-06-15 19:12:43,0
Pengguna Google,saya mantan pemain lama saya main dari awal game ini keluar dan berhenti bermain diversi 1.6 tapi saat saya baru kembali main game ini lagi semua karakter bintang 5 saya sudah GK kepakai musuhnya terlalu tebal dan berlebihan apa lagi boss boss baru yang sudah sangat sulit dikalahkan oleh karakter lama kesannya kaya game pay to play dengan embel-embel free to play karena jelas sekali Dev memaksa pemain untuk memiliki karakter bintang 5 terbaru untuk bisa memainkan game ini dengan lebih mudah,1,2025-06-15 14:04:45,0
Pengguna Google,gamenya itu setiap kali unduh data itu pasti ngulangggg terus sampai internet HP saya gak sanggup sama gamenya... saya selalu ngulang ngunduh data selama 7 x dan itu bikin saya muak sendiri... saya kadang harus nahan nangis hanya karena ngunduh data yang susah... tolong lah jangan begini gamenya...,1,2025-06-15 13:51:51,2
Pengguna Google,bintang 1 dlu,5,2025-06-15 13:20:50,0
