,Nama Pengguna,Teks Ulasan,Rating Bintang,Tanggal Ulasan,Jumlah Likes,Ulasan Bersih,bahasa,auto_labels,auto_labels_list
12,Pengguna Google,"why is my convene so bad??? why do I always get rate off and hard pitty?? this is very unfair, when others get 5 star limit with a very close distance why do I always get high pitty? moreover I always lose in every 50/50. where is justice? I really can't accept it if this continues, I'm fed up with this",1,2025-06-20 10:19:45,0,why is my convene so bad why do i always get rate off and hard pitty this is very unfair when others get star limit with a very close distance why do i always get high pitty moreover i always lose in every where is justice i really cant accept it if this continues im fed up with this,en,"{'sequence': 'why is my convene so bad why do i always get rate off and hard pitty this is very unfair when others get star limit with a very close distance why do i always get high pitty moreover i always lose in every where is justice i really cant accept it if this continues im fed up with this', 'labels': ['Komunitas', 'Monetisasi & Gacha', 'Optimalisasi', 'Grafis', 'Gameplay', 'Bugs & Error', 'Cerita'], 'scores': [0.40805724263191223, 0.40750637650489807, 0.4031747281551361, 0.4017828702926636, 0.40098002552986145, 0.4000101685523987, 0.3971753716468811]}",[]
13,Pengguna Google,gamenya sangat bagus cuma berharap bakal ada fitur buat pindah server...,5,2025-06-20 10:16:31,0,gamenya sangat bagus cuma harap bakal fitur buat pindah server,id,"{'sequence': 'gamenya sangat bagus cuma harap bakal fitur buat pindah server', 'labels': ['Monetisasi & Gacha', 'Komunitas', 'Grafis', 'Optimalisasi', 'Gameplay', 'Cerita', 'Bugs & Error'], 'scores': [0.4397256374359131, 0.4379723072052002, 0.4375593960285187, 0.43627673387527466, 0.43500497937202454, 0.4342734217643738, 0.42879676818847656]}",[]
14,Pengguna Google,Absolute Cinema ✋😎🤚,5,2025-06-20 09:09:44,0,absolute cema,ro,"{'sequence': 'absolute cema', 'labels': ['Monetisasi & Gacha', 'Komunitas', 'Cerita', 'Grafis', 'Gameplay', 'Bugs & Error', 'Optimalisasi'], 'scores': [0.45719292759895325, 0.4448072910308838, 0.4333183169364929, 0.43207696080207825, 0.43032512068748474, 0.42400649189949036, 0.4223925769329071]}",[]
15,Pengguna Google,"gameee baik masya allahh pokonya. g kikir kaya game sebelah, grafik memanjakan mata, story keren, cut scene keren, explore seru",5,2025-06-20 09:02:44,0,gameee baik masya allahh poko g kikir kaya game belah grafik manja mata story keren cut scene keren explore seru,id,"{'sequence': 'gameee baik masya allahh poko g kikir kaya game belah grafik manja mata story keren cut scene keren explore seru', 'labels': ['Grafis', 'Monetisasi & Gacha', 'Komunitas', 'Gameplay', 'Optimalisasi', 'Cerita', 'Bugs & Error'], 'scores': [0.4470430910587311, 0.4469771981239319, 0.44594621658325195, 0.44515079259872437, 0.4451070725917816, 0.4438380300998688, 0.44039928913116455]}",[]
16,Pengguna Google,"walaupun game nya sangat berat dan device saya hanya mampu memainkan wuwa 30 fps,tapi game ini sangat2 bagus dari semua aspek",5,2025-06-20 09:00:21,0,walaupun game sangat berat device hanya mampu main wuwa fpstapi game sangat bagus semua aspek,id,"{'sequence': 'walaupun game sangat berat device hanya mampu main wuwa fpstapi game sangat bagus semua aspek', 'labels': ['Grafis', 'Komunitas', 'Monetisasi & Gacha', 'Optimalisasi', 'Gameplay', 'Bugs & Error', 'Cerita'], 'scores': [0.41216784715652466, 0.4101885259151459, 0.40934160351753235, 0.4082329273223877, 0.40589746832847595, 0.4028128981590271, 0.40221697092056274]}",[]
17,Pengguna Google,Not bad,5,2025-06-20 07:42:31,0,not bad,pendek,"{'sequence': 'not bad', 'labels': ['Monetisasi & Gacha', 'Komunitas', 'Cerita', 'Grafis', 'Gameplay', 'Bugs & Error', 'Optimalisasi'], 'scores': [0.4279516935348511, 0.4163021147251129, 0.4101868271827698, 0.4047098457813263, 0.40397974848747253, 0.4033273458480835, 0.40078333020210266]}",[]
18,Pengguna Google,hp saya Oppo a 3 x main genshin impact lancar main pgr lancar cuma 1 game ini ini size nya ga gede gede amat kaya genshin impact Tapi suka keluar sendiri dari game tiba tiba pas lagi ngerjain misi buat kalian yang sama ngalamin for close alias keluar sendiri pas lagi enak main sini kumpul kita demo padahal ram banyak internal juga masih luas,1,2025-06-20 06:41:10,0,hp oppo a x main genshin impact lancar main pgr lancar cuma game ini size gede gede kaya genshin impact suka keluar sendiri game tiba tiba pas ngerjain misi buat kalian sama ngalamin for close alias keluar sendiri pas enak main sini kumpul demo padahal ram banyak internal masih luas,id,"{'sequence': 'hp oppo a x main genshin impact lancar main pgr lancar cuma game ini size gede gede kaya genshin impact suka keluar sendiri game tiba tiba pas ngerjain misi buat kalian sama ngalamin for close alias keluar sendiri pas enak main sini kumpul demo padahal ram banyak internal masih luas', 'labels': ['Komunitas', 'Grafis', 'Monetisasi & Gacha', 'Optimalisasi', 'Gameplay', 'Cerita', 'Bugs & Error'], 'scores': [0.4376264214515686, 0.4371822476387024, 0.4356021285057068, 0.43493035435676575, 0.43393853306770325, 0.4327192008495331, 0.43160614371299744]}",[]
19,Pengguna Google,game nya bagus cuma kurang bahasa Indonesia aja sih tolong tambahkan bahasa Indonesia ya untuk pihak kuro games👍,5,2025-06-20 06:39:15,0,game bagus cuma kurang bahasa indonesia tambah bahasa indonesia untuk pihak kuro games,id,"{'sequence': 'game bagus cuma kurang bahasa indonesia tambah bahasa indonesia untuk pihak kuro games', 'labels': ['Monetisasi & Gacha', 'Komunitas', 'Grafis', 'Gameplay', 'Cerita', 'Optimalisasi', 'Bugs & Error'], 'scores': [0.4128872752189636, 0.41183391213417053, 0.41165289282798767, 0.4046765863895416, 0.404185950756073, 0.4032289981842041, 0.39863699674606323]}",[]
20,Pengguna Google,dermawan,5,2025-06-20 06:10:18,0,dermawan,pendek,"{'sequence': 'dermawan', 'labels': ['Monetisasi & Gacha', 'Komunitas', 'Cerita', 'Grafis', 'Optimalisasi', 'Gameplay', 'Bugs & Error'], 'scores': [0.44784101843833923, 0.44627276062965393, 0.4300200045108795, 0.4294370710849762, 0.42747771739959717, 0.42735016345977783, 0.42113715410232544]}",[]
21,Pengguna Google,makasih banh,5,2025-06-20 06:02:03,0,makasih banh,id,"{'sequence': 'makasih banh', 'labels': ['Monetisasi & Gacha', 'Komunitas', 'Cerita', 'Grafis', 'Optimalisasi', 'Gameplay', 'Bugs & Error'], 'scores': [0.43441638350486755, 0.42829298973083496, 0.4216167628765106, 0.4165222942829132, 0.4129007160663605, 0.41243213415145874, 0.40295204520225525]}",[]
22,Pengguna Google,"this game is quite good but, there needs some development for low devices experience",5,2025-06-20 04:51:01,0,this game is quite good but there needs some development for low devices experience,en,"{'sequence': 'this game is quite good but there needs some development for low devices experience', 'labels': ['Monetisasi & Gacha', 'Komunitas', 'Grafis', 'Gameplay', 'Cerita', 'Optimalisasi', 'Bugs & Error'], 'scores': [0.42379915714263916, 0.42297038435935974, 0.41612085700035095, 0.41550591588020325, 0.41327717900276184, 0.4113626778125763, 0.40863072872161865]}",[]
23,Pengguna Google,Sangat bagus,5,2025-06-20 04:40:07,0,sangat bagus,tl,"{'sequence': 'sangat bagus', 'labels': ['Monetisasi & Gacha', 'Komunitas', 'Optimalisasi', 'Grafis', 'Gameplay', 'Cerita', 'Bugs & Error'], 'scores': [0.42910903692245483, 0.41963914036750793, 0.4154869616031647, 0.41443637013435364, 0.41091546416282654, 0.40965333580970764, 0.40411004424095154]}",[]
24,Pengguna Google,Gacha ampas harus kalah dulu baru bisa dapet bintang 5 game ampas,1,2025-06-20 04:25:28,0,gacha ampas kalah dulu baru dapet bintang game ampas,id,"{'sequence': 'gacha ampas kalah dulu baru dapet bintang game ampas', 'labels': ['Monetisasi & Gacha', 'Optimalisasi', 'Komunitas', 'Cerita', 'Gameplay', 'Grafis', 'Bugs & Error'], 'scores': [0.4270106256008148, 0.42301055788993835, 0.42200562357902527, 0.41990330815315247, 0.41954922676086426, 0.41867855191230774, 0.41401034593582153]}",[]
25,Pengguna Google,"keren MCnya, OP parah.",5,2025-06-20 04:20:39,0,keren mcnya op parah,id,"{'sequence': 'keren mcnya op parah', 'labels': ['Monetisasi & Gacha', 'Komunitas', 'Grafis', 'Optimalisasi', 'Gameplay', 'Cerita', 'Bugs & Error'], 'scores': [0.41951826214790344, 0.41906920075416565, 0.4154220521450043, 0.4150053858757019, 0.41326767206192017, 0.41222381591796875, 0.40215766429901123]}",[]
26,Pengguna Google,"pengen main game ini lagi, tapi device tidak mendukung buat main :'(",5,2025-06-20 04:04:31,0,ken main game lagi device dukung buat main,id,"{'sequence': 'ken main game lagi device dukung buat main', 'labels': ['Cerita', 'Komunitas', 'Monetisasi & Gacha', 'Grafis', 'Gameplay', 'Optimalisasi', 'Bugs & Error'], 'scores': [0.44252800941467285, 0.4424808621406555, 0.43630358576774597, 0.4362729787826538, 0.4358455240726471, 0.43451184034347534, 0.42605093121528625]}",[]
27,Pengguna Google,"ampas banget update sekarang, apalagi Event Kartu ga jelas itu. udah mana septimont banyak bug lagi:v",2,2025-06-20 03:48:07,0,ampas banget update sekarang event kartu jelas udah mana septimont banyak bug lagiv,id,"{'sequence': 'ampas banget update sekarang event kartu jelas udah mana septimont banyak bug lagiv', 'labels': ['Komunitas', 'Grafis', 'Optimalisasi', 'Monetisasi & Gacha', 'Gameplay', 'Cerita', 'Bugs & Error'], 'scores': [0.46123018860816956, 0.45751774311065674, 0.4555830657482147, 0.45362767577171326, 0.45077237486839294, 0.44970938563346863, 0.44967517256736755]}",[]
28,Pengguna Google,gamenya bagus tapi frame sering drop parah padahal grafik udh paling rendah,2,2025-06-20 01:33:54,0,gamenya bagus frame sering drop parah padahal grafik udh paling rendah,id,"{'sequence': 'gamenya bagus frame sering drop parah padahal grafik udh paling rendah', 'labels': ['Grafis', 'Komunitas', 'Monetisasi & Gacha', 'Optimalisasi', 'Gameplay', 'Cerita', 'Bugs & Error'], 'scores': [0.4205920696258545, 0.4192626178264618, 0.41888460516929626, 0.4170343577861786, 0.4152948260307312, 0.41222214698791504, 0.41221290826797485]}",[]
29,Pengguna Google,"Game bagus, cuma kurang gak ada bahasa Indonesia aja.",4,2025-06-20 01:12:13,0,game bagus cuma kurang ada bahasa indonesia,id,"{'sequence': 'game bagus cuma kurang ada bahasa indonesia', 'labels': ['Monetisasi & Gacha', 'Komunitas', 'Grafis', 'Cerita', 'Optimalisasi', 'Gameplay', 'Bugs & Error'], 'scores': [0.41872259974479675, 0.4134066104888916, 0.41202202439308167, 0.4084886610507965, 0.40565499663352966, 0.40352627635002136, 0.4032004177570343]}",[]
30,Pengguna Google,tanpa bahasa Indonesia terasa kurang memahami dalam story.,4,2025-06-20 01:12:12,0,bahasa indonesia asa kurang paham story,id,"{'sequence': 'bahasa indonesia asa kurang paham story', 'labels': ['Monetisasi & Gacha', 'Komunitas', 'Cerita', 'Gameplay', 'Grafis', 'Bugs & Error', 'Optimalisasi'], 'scores': [0.38547858595848083, 0.38314270973205566, 0.3825836181640625, 0.37399011850357056, 0.37369221448898315, 0.3678411841392517, 0.3652074933052063]}",[]
31,Pengguna Google,Game Kusus PC tidak ramah Android,2,2025-06-20 01:02:37,2,game sus pc ramah android,id,"{'sequence': 'game sus pc ramah android', 'labels': ['Monetisasi & Gacha', 'Komunitas', 'Bugs & Error', 'Grafis', 'Cerita', 'Gameplay', 'Optimalisasi'], 'scores': [0.46351781487464905, 0.4454208314418793, 0.4443693459033966, 0.4410512149333954, 0.44013142585754395, 0.43789759278297424, 0.4292517304420471]}",[]
32,Pengguna Google,hadiahnya sangat banyak,5,2025-06-20 00:53:37,0,hadiah sangat banyak,id,"{'sequence': 'hadiah sangat banyak', 'labels': ['Monetisasi & Gacha', 'Komunitas', 'Grafis', 'Cerita', 'Gameplay', 'Bugs & Error', 'Optimalisasi'], 'scores': [0.44999074935913086, 0.4368411600589752, 0.4342917203903198, 0.43065977096557617, 0.428061842918396, 0.42363715171813965, 0.4232732951641083]}",[]
33,Pengguna Google,mantap,5,2025-06-20 00:49:34,0,mantap,pendek,"{'sequence': 'mantap', 'labels': ['Monetisasi & Gacha', 'Komunitas', 'Optimalisasi', 'Cerita', 'Gameplay', 'Grafis', 'Bugs & Error'], 'scores': [0.442288339138031, 0.44008710980415344, 0.42815080285072327, 0.42797842621803284, 0.42764046788215637, 0.42674145102500916, 0.4172596335411072]}",[]
34,Pengguna Google,100× gacha tidak dapat cartethiya 👎,1,2025-06-19 22:52:53,0,gacha dapat cartethiya,id,"{'sequence': 'gacha dapat cartethiya', 'labels': ['Monetisasi & Gacha', 'Komunitas', 'Cerita', 'Grafis', 'Gameplay', 'Optimalisasi', 'Bugs & Error'], 'scores': [0.461356520652771, 0.4499674141407013, 0.44522231817245483, 0.44223007559776306, 0.44119763374328613, 0.4345215857028961, 0.43071460723876953]}",[]
35,Pengguna Google,kualitas gambar jelek dan gak ada terjemahan bahasa Indonesia,1,2025-06-19 22:39:35,0,kualitas gambar jelek tidak terjemah bahasa indonesia,id,"{'sequence': 'kualitas gambar jelek tidak terjemah bahasa indonesia', 'labels': ['Komunitas', 'Grafis', 'Monetisasi & Gacha', 'Cerita', 'Bugs & Error', 'Optimalisasi', 'Gameplay'], 'scores': [0.4002082943916321, 0.3959476947784424, 0.39555346965789795, 0.39515528082847595, 0.391348272562027, 0.38804635405540466, 0.3872647285461426]}",[]
36,Pengguna Google,game bagus ..story sangat bagus..semuanya bagus.. tapi sayang gak ada sub indonesia nya.. yg bikin bingung untuk yg kurang bisa bahasa inggris jdi story gk ngerti..jalan cerita gk ngerti .dan hasinya kaya game baku hantam biasa ..kalo gk ada sub untuk semua negara,5,2025-06-19 20:45:54,1,game bagus story sangat bagussemuanya bagus sayang sub indonesia bikin bingung yang kurang bahasa inggris jdi story gk ngertijalan cerita gk ngerti has kaya game baku hantam biasa kalau gk ada sub semua negara,id,"{'sequence': 'game bagus story sangat bagussemuanya bagus sayang sub indonesia bikin bingung yang kurang bahasa inggris jdi story gk ngertijalan cerita gk ngerti has kaya game baku hantam biasa kalau gk ada sub semua negara', 'labels': ['Komunitas', 'Grafis', 'Cerita', 'Monetisasi & Gacha', 'Optimalisasi', 'Gameplay', 'Bugs & Error'], 'scores': [0.45819082856178284, 0.45674189925193787, 0.4551546573638916, 0.4542694091796875, 0.45332467555999756, 0.4533180892467499, 0.4498296082019806]}",[]
37,Pengguna Google,nice,5,2025-06-19 18:57:09,0,nice,pendek,"{'sequence': 'nice', 'labels': ['Monetisasi & Gacha', 'Komunitas', 'Cerita', 'Grafis', 'Bugs & Error', 'Gameplay', 'Optimalisasi'], 'scores': [0.4511186182498932, 0.43008893728256226, 0.41906583309173584, 0.41740450263023376, 0.4152893126010895, 0.41253671050071716, 0.41045308113098145]}",[]
38,Pengguna Google,rate off babi,1,2025-06-19 18:50:08,0,rate off babi,en,"{'sequence': 'rate off babi', 'labels': ['Monetisasi & Gacha', 'Komunitas', 'Grafis', 'Gameplay', 'Optimalisasi', 'Cerita', 'Bugs & Error'], 'scores': [0.41914018988609314, 0.413219153881073, 0.40700697898864746, 0.404777854681015, 0.4026183784008026, 0.4021722674369812, 0.398825466632843]}",[]
39,Pengguna Google,perbagus lagi grafiknya dan tolong perbaiki lagi di bagian npc yang gerakannya sedikit kaku,4,2025-06-19 17:52:35,2,bagus grafik tolong baik di bagi npc gera sedikit kaku,id,"{'sequence': 'bagus grafik tolong baik di bagi npc gera sedikit kaku', 'labels': ['Grafis', 'Optimalisasi', 'Monetisasi & Gacha', 'Komunitas', 'Bugs & Error', 'Gameplay', 'Cerita'], 'scores': [0.45091310143470764, 0.4458320140838623, 0.4403781592845917, 0.43765348196029663, 0.4323546588420868, 0.4266732335090637, 0.4250846207141876]}",[]
40,Pengguna Google,Game yang bagus,5,2025-06-19 17:26:51,0,game bagus,id,"{'sequence': 'game bagus', 'labels': ['Monetisasi & Gacha', 'Komunitas', 'Grafis', 'Gameplay', 'Optimalisasi', 'Cerita', 'Bugs & Error'], 'scores': [0.42748549580574036, 0.41722407937049866, 0.4149799048900604, 0.40886807441711426, 0.4083011746406555, 0.40813031792640686, 0.4060801565647125]}",[]
41,Pengguna Google,"bagus gamenya saya suka, cuma tolong rate gachanya di naikin itu aja sih, selebihnya mantep gamenya🤧",5,2025-06-19 17:21:32,0,bagus gamenya suka cuma rate gachanya naikin saja lebih mantep gamenya,id,"{'sequence': 'bagus gamenya suka cuma rate gachanya naikin saja lebih mantep gamenya', 'labels': ['Komunitas', 'Grafis', 'Monetisasi & Gacha', 'Optimalisasi', 'Gameplay', 'Cerita', 'Bugs & Error'], 'scores': [0.433303564786911, 0.43052592873573303, 0.43041375279426575, 0.42977967858314514, 0.42856112122535706, 0.42798158526420593, 0.42270827293395996]}",[]
42,Pengguna Google,luar biasa,5,2025-06-19 17:21:01,0,luar biasa,id,"{'sequence': 'luar biasa', 'labels': ['Monetisasi & Gacha', 'Komunitas', 'Grafis', 'Cerita', 'Gameplay', 'Optimalisasi', 'Bugs & Error'], 'scores': [0.42860326170921326, 0.4285903573036194, 0.4133588969707489, 0.413130521774292, 0.4129237234592438, 0.4105460047721863, 0.4016250967979431]}",[]
43,Pengguna Google,"overall sejauh ini okeh2 aja gak ada yang gimana2 cuma ini ada 1 kendala yaitu bahasa, bagi yang gak bisaa bahasa Inggris susah",5,2025-06-19 17:06:07,0,overall jauh okeh yang gimana cuma ada kendala bahasa yang tidak bisaa bahasa inggris susah,id,"{'sequence': 'overall jauh okeh yang gimana cuma ada kendala bahasa yang tidak bisaa bahasa inggris susah', 'labels': ['Monetisasi & Gacha', 'Komunitas', 'Grafis', 'Optimalisasi', 'Cerita', 'Gameplay', 'Bugs & Error'], 'scores': [0.40894749760627747, 0.40789633989334106, 0.40152013301849365, 0.3959193527698517, 0.3951289653778076, 0.39388105273246765, 0.3927477300167084]}",[]
44,Pengguna Google,"game gila, absolute masterpiece. Tapi mohon lah Kuro, masa habis UPD Septimont malah tambah lag padahal udah hype banget maennya. Tolong Kuro please optimalkan lebih lagi, (Device. Samsung A55 5G)",4,2025-06-19 16:48:23,0,game gila absolute masterpiece mohon lah kuro masa habis upd septimont malah tambah lag padahal udah hype banget maennya kuro please optimal lebih device samsung a g,id,"{'sequence': 'game gila absolute masterpiece mohon lah kuro masa habis upd septimont malah tambah lag padahal udah hype banget maennya kuro please optimal lebih device samsung a g', 'labels': ['Komunitas', 'Grafis', 'Monetisasi & Gacha', 'Optimalisasi', 'Cerita', 'Gameplay', 'Bugs & Error'], 'scores': [0.4284120202064514, 0.4281812012195587, 0.42648062109947205, 0.4264334738254547, 0.42449620366096497, 0.4240345060825348, 0.42142733931541443]}",[]
45,Pengguna Google,Game keren,5,2025-06-19 16:11:27,0,game keren,da,"{'sequence': 'game keren', 'labels': ['Monetisasi & Gacha', 'Komunitas', 'Grafis', 'Cerita', 'Bugs & Error', 'Gameplay', 'Optimalisasi'], 'scores': [0.43952614068984985, 0.42602187395095825, 0.42400598526000977, 0.4225761294364929, 0.4214884340763092, 0.4212697744369507, 0.4184057414531708]}",[]
46,Pengguna Google,ni game force close Mulu jadi malas gw main padahal memori masih banyak hadeh capek gw tiap main terkeluar Mulu gimana mau ramai coba ni game kalo main force close mulu,1,2025-06-19 16:06:34,0,ni game force close mulu jadi malas gw main padahal memori banyak hadeh capek gw tiap main keluar mulu gimana mau ramai coba ni game kalau main force close mulu,id,"{'sequence': 'ni game force close mulu jadi malas gw main padahal memori banyak hadeh capek gw tiap main keluar mulu gimana mau ramai coba ni game kalau main force close mulu', 'labels': ['Monetisasi & Gacha', 'Komunitas', 'Cerita', 'Optimalisasi', 'Grafis', 'Gameplay', 'Bugs & Error'], 'scores': [0.4313298165798187, 0.430256187915802, 0.42965227365493774, 0.42885279655456543, 0.42871010303497314, 0.42639487981796265, 0.4254356026649475]}",[]
47,Pengguna Google,tamat~,5,2025-06-19 15:45:56,0,tamat,pendek,"{'sequence': 'tamat', 'labels': ['Monetisasi & Gacha', 'Komunitas', 'Cerita', 'Grafis', 'Gameplay', 'Bugs & Error', 'Optimalisasi'], 'scores': [0.4397614896297455, 0.42976561188697815, 0.4282800257205963, 0.42173540592193604, 0.42110830545425415, 0.41277775168418884, 0.40984150767326355]}",[]
