Nama Pengguna,Teks Ulasan,Rating Bintang,Tanggal Ulasan,Jumlah Likes,Ulasan Bersih,bahasa,AutoLabel_Cerita,AutoLabel_Gameplay,AutoLabel_Grafis,AutoLabel_Bugs & Error,AutoLabel_Optimalisasi,AutoLabel_Monetisasi & Gacha,AutoLabel_Komunitas
Pengguna Google,bagus ya bagus cuma chipset gw rusak oii,4,2025-06-28 5:31:51,0,bagus bagus cuma chipset gua rusak oii,id,0,0,0,0,0,0,0
Pengguna Google,"rate off,gacha gak pernah menang 50/50 selalu 70 atau 80, musuh eventnya terlalu sulit,mencari astrite nya susah kalo f2p,selalu ngelag di septimont,resonator baru lebih OP ketimbang resonator lama,di 2.3 dan 2.4 harus gacha char yang support atribut sama kalo gak kekuatan nya gak keluar maksimal saran saya gak usah meningkatkan grafis lagi, cukup dengan yang saat ini dan jangan lupa optimalisasi, ini laptop ram 16 GB yang harusnya jalan lancar malah ngelag ngelag",1,2025-06-28 4:16:27,0,rate offgacha pernah menang selalu musuh eventnya terlalu sulitmencari astrite nya susah kalau fpselalu ngelag septimontresonator baru lebih op ketimbang resonator lamadi harus gacha karakter support atribut sama kalau kuat nya keluar maksimal saran tidak usah tingkat grafis cukup jangan lupa optimalisasi ini laptop ram gb yang harus jalan lancar malah ngelag ngelag,id,0,0,1,0,1,0,0
Pengguna Google,"game rusak, makin update makin berat ga jelas, terutama bagian upgrade Echoes statnya gajelas udah berkali kali di ganti tetep itu itu aja game pelit",1,2025-06-28 4:03:33,9,game rusak makin update makin berat jelas utama bagi upgrade echoes statnya gajelas kali kali ganti tetap itu aja game pelit,id,0,1,0,0,0,0,0
Pengguna Google,APIK LUWIH KETIMBANG GENSHIN,5,2025-06-28 3:18:49,0,apik luwih ketimbang genshin,id,0,0,0,0,0,0,0
Pengguna Google,coba jangan maksa instal game lu lagi main enaknya malah kau ganggu dengan iklan yg gaje itu,1,2025-06-28 2:58:56,0,coba jangan maksa instal game lu main enak malah kau ganggu iklan gaje,id,0,1,0,0,0,0,0
Pengguna Google,optimalkan lagi grafis nya pengaturan low render masih jauh keliatan bukit bukit gk jls buat ngelag buat blur aja lah bukit tu rumput goyang grafik low loh msh goyang rumput nya apa gk ngelag hp optimalkan lagi banyak org hp gk kuat tpi mau main kehalang berat x kek gtu,1,2025-06-28 2:20:17,0,optimal grafis nya atur low render jauh liat bukit bukit jls buat ngelag buat blur aja lah bukit tu rumput goyang grafik low loh msh goyang rumput nya apa ngelag hp optimal banyak org hp kuat tpi mau main halang berat x kek gtu,id,0,0,1,0,1,0,0
Pengguna Google,"Dear Kuro, mohon di tambah kuota untum limited item yang di dapat di bos weekly karena banyak char yang mesti update skill",5,2025-06-28 0:10:48,0,dear kuro mohon tambah kuota untum limited item di di bos weekly banyak karakter mesti update skill,id,0,0,0,0,0,0,0
Pengguna Google,bagus banget game nya tapi sayangnya ga ada subtitle bahasa Indonesia. semoga ada bahasa Indonesia agar memudahkan bagi yang menikmati cerita,5,2025-06-28 0:05:54,0,bagus banget game nya sayang subtitle bahasa indonesia moga ada bahasa indonesia mudah yang nikmat cerita,id,1,1,0,0,0,0,0
Pengguna Google,"Dua kali kalah rate off di Baner limited, game sampah",1,2025-06-27 18:27:38,0,kali kalah rate off baner limited game sampah,id,0,1,0,0,0,0,0
Pengguna Google,semoga lebih banyak reward dan event yg menghasilkan astrite banyak,4,2025-06-27 15:51:22,0,moga lebih banyak reward event hasil astrite banyak,id,0,0,0,0,0,0,0
Pengguna Google,Sinyal selalu ngelag setiap saat yang di mana sangat menganggu proses gameplay,1,2025-06-27 14:31:09,0,sinyal selalu ngelag saat di mana sangat menganggu proses gameplay,id,0,1,0,0,0,0,0
Pengguna Google,pengen jadi tacet mark nya brant,5,2025-06-27 12:44:15,1,ken jadi tacet mark nya brant,id,0,0,0,0,1,0,0
Pengguna Google,"nggk tau mesti bilang apa ke ni game, terlalu bagus sehingga kata"" pun tak bisa di lontarkan",5,2025-06-27 11:37:08,0,nggk tau mesti bilang apa ini game terlalu bagus kata tidak di lontar,id,0,1,0,0,0,0,0
Pengguna Google,mantap admin dermawan😘😘,5,2025-06-27 10:41:56,0,mantap admin dermawan,id,0,0,0,0,0,0,0
Pengguna Google,"30menit main, fps turun jauh padahal spek mumpuni",1,2025-06-27 10:05:37,0,menit main fps turun jauh padahal spek mumpuni,id,0,1,1,0,1,0,0
Pengguna Google,"Harapannya selalu stabil jaringan ini game, grafik ok dengan device yang rata-rata orang punya. dan info banner re-run jangan terlalu lama kalau bisa.",5,2025-06-27 8:29:52,0,harap selalu stabil jaring game grafik dengan device ratarata orang punya info banner rerun jangan terlalu lama kalau,id,0,1,1,0,0,0,0
Pengguna Google,untuk stick PS 3 ga berfungsi lagi di update sekarang :( padahal versi sebelumnya aman lancar aja ( edit dah work lagi mungkin kemarin ngebug hehe ),5,2025-06-27 6:49:13,0,stick ps fungsi di update sekarang padahal versi belum aman lancar aja edit work mungkin kemarin bug hehe,id,0,0,0,1,0,0,0
Pengguna Google,please add bahasa indonesia,5,2025-06-27 5:46:39,0,please add bahasa indonesia,id,0,0,0,0,0,0,0
Pengguna Google,"seru banget game nya, walaupun gw gak suka yang banyak dialog nya tapi menurut gw dari grafik nya oke lah",5,2025-06-27 4:59:42,0,seru banget game nya walaupun gua suka banyak dialog nya turut gua grafik nya oke lah,id,0,1,1,0,0,0,0
Pengguna Google,"Sudah senang saat gacha ada cahaya kuning, ternyata dapatnya jianxin bukan cartethya. Tentunya sangat kecewa dikarenakan sudah bersusah payah grinding untuk bisa gacha dapatnya malah character yang tidak diharapkan. Saya akan kembali mengasih bintang 5 jika sudah mendapatkan character yang saya inginkan",3,2025-06-27 4:43:50,0,senang gacha cahaya kuning nyata dapat jianxin bukan cartethya tentu sangat kecewa karena susah payah grinding bisa gacha dapat malah character tidak harap akan asih bintang sudah dapat character saya ingin,id,0,1,0,0,0,1,0
Pengguna Google,"Min ada sedikit masukan, boleh kali ada yg versi clound, biar yg HP nya 🥔 bisa main juga",5,2025-06-27 4:27:13,0,min sedikit masuk kali versi clound biar yang hp nya main,id,0,1,0,0,0,0,0
Pengguna Google,terimakasih kuro aku tidak pernah rate off aku cinta kamuu terimakasih 🌷🌷🌷💐,5,2025-06-27 3:42:45,0,terimakasih kuro aku pernah rate off aku cinta kamuu terimakasih,id,0,0,0,0,1,0,0
Pengguna Google,Baru comeback first pull langsung dikasih *5 limited wkwkwk,5,2025-06-26 23:09:17,0,baru comeback first pull langsung kasih limited wkwkwk,id,0,1,0,0,0,0,0
Pengguna Google,"overall udah bagus cuman masalahnya, optimisasinya walau ga komplain banyak sih soalnya emang butuh spek tinggi tapi ya tolong diringankan kalau bisa 🔥",4,2025-06-26 20:54:20,0,overall bagus cuman masalah optimisasinya tidak komplain banyak soal emang butuh spek tinggi ya ringan kalau,id,0,0,0,0,1,0,0
Pengguna Google,"Gamenya sih sudah bagus dan seru, apalagi gameplay combat nya. Tapi tolong dong tambahin bahasa Indonesia di game nya. Biar bisa lebih menikmati story nya",3,2025-06-26 18:57:40,0,game bagus seru gameplay combat nya tolong dong tambahin bahasa indonesia game nya biar lebih nikmat story nya,id,0,1,0,0,0,0,0
Pengguna Google,"makasih udh nyiptain char se ganteng, se tampan, se sempurna, se imut, se cakep, se tengil Brant😋🤤🤤🤤🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰",5,2025-06-26 18:08:00,0,makasih nyiptain karakter se ganteng se tampan se sempurna se imut se cakep se tengil brant,id,0,0,0,0,0,0,0
Pengguna Google,"good game seru awalnya kukira boring ternyata seru juga setelah main seminggu mungkin?? . pokoknya seru lah ✌. well well well thanks wuwa 72 pity dapet ya, gak kek game sebelah awal main dapet DPS",5,2025-06-26 14:40:48,0,good game seru awal kira boring nyata seru telah main minggu mungkin pokok seru lah well well well thanks wuwa pity ya kek game belah awal main dps,id,0,1,0,0,0,0,0
Pengguna Google,"gw suka banget game ini anjir, tapi minimal tambahin bansos lah, bansos nya kureng",5,2025-06-26 13:48:55,0,gua suka banget game anjir minimal tambahin bansos lah bansos nya reng,id,0,1,0,0,0,0,0
Pengguna Google,"game yg sngat bagus overall ,cuman update baru saya mengalami stuck saat akan menuju main quest baru, layar hitam tidak muncul gambar, ntah knp padahal memori masih kosong",4,2025-06-26 13:37:14,0,game sngat bagus overall cuman update baru alami stuck akan tuju main quest baru layar hitam muncul gambar ntah knp padahal memori kosong,id,0,0,0,0,0,0,0
Pengguna Google,bug map septimont tolong di perbaiki fram drop terus masa sampai 8fps di map lain lancar aja,3,2025-06-26 12:59:31,0,bug map septimont baik fram drop terus masa fps di map lancar aja,id,0,0,0,0,0,0,0
Pengguna Google,"Gamenya Bagus, Grafik Bagus, Battle Epic. Ada tambahan edit : Tolong fix frame drop di Septimont, padahal spesifikasi HP saya tergolong High end tetapi malah drop 10 fps, sedangkan pada versi sebelumnya sangat lancar sekali.....",2,2025-06-26 12:58:51,1,game bagus grafik bagus battle epic tambah edit fix frame drop septimont padahal spesifikasi hp golong high end malah drop fps pada versi belum sangat lancar sekali,id,0,1,1,0,0,0,0
Pengguna Google,game mantap seru.,5,2025-06-26 12:38:05,0,game mantap seru,id,0,1,0,0,0,0,0
Pengguna Google,min tolong masukan bahasa Indonesia nya,5,2025-06-26 11:38:07,0,min masuk bahasa indonesia nya,id,0,0,0,0,0,0,0
Pengguna Google,game nya bagus bikin nyaman playernya hingga rela ngatain tetangga game kikir nggak bisa bikin player nyaman sehingga banyak dari game sebelah pindah ke game amazing ini😄😄,5,2025-06-26 10:11:24,0,game nya bagus bikin nyaman playernya hingga rela ngatain tetangga game kikir bisa bikin player nyaman banyak game belah pindah game amazing,id,0,1,0,0,0,0,0
Pengguna Google,gada b. indo gak seru💀,1,2025-06-26 10:00:10,1,gada b indo seru,id,0,0,0,0,0,0,0
Pengguna Google,makasi 🥰🥰🥰 game nya murah hati banget makasihhhh,5,2025-06-26 8:55:44,0,makas game nya murah hati banget makasihhhh,id,0,1,0,0,0,0,0
Pengguna Google,"kualitas gambar didalam game terlalu berat, mohon diperbaiki lagi untuk kecocokan disetiap device✋, edit ulasan: Terimakasih developer gamenya sudah lebih smooth dan lebih bagus, game ini memang terbaik👍 edit ulasan; saya punya pertanyaan mengapa top karakter di game ini kebanyakan karakter perempuan/cewek🗿 ada apa dengan laki-laki/cowok?🤦‍♀️",5,2025-06-26 7:38:20,0,kualitas gambar dalam game terlalu berat mohon baik untuk cocok tiap device edit ulas terimakasih developer game lebih smooth lebih bagus game memang baik edit ulas punya tanya top karakter game banyak karakter perempuancewek apa lakilakicowok,id,0,1,0,0,0,0,0
Pengguna Google,"Game nya seru, komunitas nya ramah, setiap patch selalu improve, selalu mendengarkan keluh kesah player, wuthering waves is the best game 2025. tapi apakah kuro berkenan untuk menambahkan Bahasa Indonesia ke dalam game nya? Saya sangat terbantu bila kuro menerapkan bahasa Indonesia pada game nya, dan juga saya ingin berkenan jika ada player yg memakai config untuk membuat game nya jadi lebih lancar, jangan mem blokir/ban akun player tersebut. Sekian dari saya terimakasih ☺️ 🙏",5,2025-06-26 7:04:06,0,game nya seru komunitas nya ramah patch selalu improve selalu dengar keluh kesah player wuthering waves is the best game apakah kuro kenan tambah bahasa indonesia dalam game nya sangat bantu bila kuro terap bahasa indonesia game nya juga ingin kenan ada player pakai config buat game nya jadi lebih lancar jangan mem blokirban akun player sebut sekian saya terimakasih,id,0,1,0,0,0,0,1
Pengguna Google,"gilak, makin kesini makin mentingin char baru cog 😹 sering-seringin kek tambahin char sama weapon B4 yang seenggaknya jadi alternatif buat yang emang gak mampu buat dapetin char atau wp nya. iya gw tau 100% wp tu dapet, tapi mikir juga jir Player baru disaranin makek wp B5 limited kalo gak ya damage nya jomplang jauh, itu yang ngebikin banyak Player baru kesusahan buat level up karena gaada opsi alternatif. Mana char B4 juga sekarang di anak tirikan gitu, adjustment nya lah diperhatiin lagi",4,2025-06-26 4:01:40,0,gilak makin kesini makin mentingin karakter baru cog seringseringin kek tambahin karakter sama weapon b enggak jadi alternatif buat emang mampu buat dapetin karakter wp nya iya gua tau wp tu tapi mikir jir player baru disaranin makek wp b limited kalau ya damage nya jomplang jauh yang ngebikin banyak player baru susah buat level up gaada opsi alternatif mana karakter b sekarang anak tiri adjustment nya lah diperhatiin,id,0,1,0,0,0,0,0
Pengguna Google,Aku kasih bintang 4 karena GK ad bahasa Indonesia😡,4,2025-06-26 3:58:21,0,aku kasih bintang tidak ad bahasa indonesia,id,1,0,0,0,0,0,0
Pengguna Google,"Gamenya bagus banget, kalo bisa di update seterusnya ditambahin bahasa Indonesia biar makin banyak peminatnya di Indonesia.",5,2025-06-26 3:09:07,0,game bagus banget kalau update ditambahin bahasa indonesia biar makin banyak minat di indonesia,id,0,1,0,0,0,0,0
Pengguna Google,bagus anjay daripada genshin kikir,5,2025-06-26 2:34:27,0,bagus anjay genshin kikir,id,0,0,0,0,0,0,0
Pengguna Google,"game yang sangat absolute cinema, cerita sudah sangat bagus dan saya suka dengan mekanik pada game ini yang sangatlah berbeda pada game open world lainnya, graphic bagus banget 👍",5,2025-06-26 2:04:35,0,game sangat absolute cema cerita sangat bagus saya suka mekanik game yang sangat beda game open world lain graphic bagus banget,id,1,1,0,0,0,0,0
Pengguna Google,"suka sebenarnya, cuman bosan karna chara male nya hampir gak ada,di story pun chara male jarang banget muncul, dan terkesan gak penting... paling males juga melihat semua chara cewek nya di buat kek tertarik / love interest mc. story nya sejauh ini mau adengan epick kek gi manapun biasa aja. karna yaps mc selalu menang. ayolah jangan cuman mikirin duit tuk fanservice mimpi basah cowok... perbanyak chara cowok di story dan banner cowok",1,2025-06-25 23:01:59,0,suka benar cuman bosan karna chara male nya hampir adad story chara male jarang banget muncul kes penting paling malas lihat semua chara cewek nya buat kek tarik love interest mc story nya jauh mau adengan epick kek gi mana biasa aja karna yaps mc selalu menang ayo jangan cuman mikirin duit tuk fanservice mimpi basah cowok banyak chara cowok story banner cowok,id,0,0,0,0,0,0,0
Pengguna Google,pengen main cmn bahasanya gk indo ... gk jadi main deh,5,2025-06-25 22:20:38,0,ken main cuman bahasa indo jadi main deh,id,0,0,0,0,1,0,0
Pengguna Google,plis developer tambahin Bahasa Indonesia 🥹☝️,5,2025-06-25 19:55:35,0,plis developer tambahin bahasa indonesia,id,1,0,0,0,0,0,1
Pengguna Google,tambahkanlah bahasa Indonesia niscaya ramai game ini,5,2025-06-25 19:32:39,0,tambah bahasa indonesia niscaya ramai game,id,0,1,0,0,0,0,0
Pengguna Google,pengen main tapi device ga kuat😔🥀🤧,5,2025-06-25 14:39:42,0,ken main device kuat,id,0,0,0,0,0,0,0
Pengguna Google,paling gak suka gw sama game yang pakai engine UE( berat ),1,2025-06-25 14:09:24,0,paling suka gua sama game pakai engine ue berat,id,0,1,0,0,0,0,0
Pengguna Google,"paling malas lihat ini game update. sudah hampir setiap hari update, nyicil lagi. belum lagi nungguin shader adoy. mending main pou",1,2025-06-25 13:34:18,1,paling malas lihat game update hampir hari update nyicil belum nungguin shader adoy mending main pou,id,0,1,0,0,0,0,0
Pengguna Google,optimasi game kamu benerin di chipset Snapdragon 870,1,2025-06-25 13:14:51,0,optimasi game kamu benerin chipset snapdragon,id,0,1,0,0,1,0,0
Pengguna Google,"Maaf buat dev entah gw ga tau apa gimana sistem game open world ya, gw dari awal main nih game sumpah dah masa semua pity rata kanan semua? pasti di atas 70 pity semua ya, gw cape-cape pulang, sempetin buat main buat nih game buat bisa gacha, eh di kasih pity kanan semua ya? cape sumpah dah, gw ga minta buat banyakin bansos tpi ya please lah ya buat kasih apalah gitu buat konpensasinya sumpah cape, meski gw jamin komen gw ga bakal di respon ama devnya tapi setidaknya gw dh ngasih keluh kesahnya",2,2025-06-25 13:01:06,1,maaf buat dev entah gua tau apa gimana sistem game open world gua awal main nih game sumpah masa semua pity rata kanan semua atas pity semua gua capecape pulang sempetin buat main buat nih game buat gacha eh kasih pity kanan semua cape sumpah gua minta buat banyakin bansos tpi please lah buat kasih apa buat konpensasinya sumpah cape meski gua jamin komen gua bakal di respon ama devnya tidak gua ngasih keluh kesah,id,0,1,0,0,0,1,0
Pengguna Google,"gamenya bagus , walaupun ada bugnya sedikit",5,2025-06-25 12:48:29,0,game bagus walaupun bugnya sedikit,id,0,1,0,0,0,0,0
Pengguna Google,"dari aku simple aja, grafiknya jelas dah bagus (walaupun di hp ku ngga karena ga terlalu mendukung 😔) tapi ya baguslah pas aku liat di video orang-orang main game ini. tapi aku mau beberapa penambahan, penambahan yang aku minta.. main quest di kasih berurut aja biar lebih tau yang mana duluan dan yang terpenting.. bahasa Indonesia di gamenya please 😔 aku dan mungkin beberapa orang, ga terlalu tau bahasa inggris, palingan basic inggris nya yang bisa 😔 udah itu aja sih👯 bye papa Kuro👯",5,2025-06-25 12:09:25,3,aku simple aja grafik jelas bagus walaupun hp aku ngga terlalu dukung ya bagus pas aku liat video orangorang main game tapi aku mau beberapa tambah tambah aku minta main quest kasih urut aja biar lebih tau mana duluan penting bahasa indonesia game please aku mungkin beberapa orang tidak terlalu tau bahasa inggris paling basic inggris nya yang bisa itu aja bye papa kuro,id,0,1,1,0,0,0,0
Pengguna Google,"Game ini bagus bansos nya banyak cuy, ramah buat f2p buru cobain deh 😋",5,2025-06-25 11:29:52,0,game bagus bansos nya banyak cuy ramah buat fp buru cobain deh,id,0,1,0,0,0,0,0
Pengguna Google,"peningkatan yang signifikan ya, terhadap performa yang diberikan pada perangkat mid-low end dari awal rilis sampai sekarang benar² terasa bedanya, semoga semakin berkembang dan lebih ramah terhadap penggunaan ram pada device² mid-low end",4,2025-06-25 10:52:23,0,tingkat signifikan performa beri perangkat midlow end awal rilis sekarang benar asa beda moga makin kembang lebih ramah hadap guna ram device midlow end,id,0,0,0,0,0,0,0
Pengguna Google,bagus cmn hp ku hampir sekarat kalo g rata kiri,5,2025-06-25 10:51:37,0,bagus cuman hp aku hampir sekarat kalau g rata kiri,id,0,0,0,0,1,0,0
Pengguna Google,tolong tambahin bahasa indonesia untuk menikmati story nya. dear devoper... tolong di respon....,2,2025-06-25 9:25:27,0,tambahin bahasa indonesia nikmat story nya dear devoper di respon,id,0,0,0,0,0,0,0
Pengguna Google,"anjayy udah rate off hard pity pulang 😂 kyk pull dari 0 jir, game sebelah pasti di jamin di pity 15-20 kalo kalah rata off",2,2025-06-25 9:11:02,0,anjayy rate off hard pity pulang kyk pull jir game belah jamin di pity kalau kalah rata off,id,0,1,0,0,0,0,0
Pengguna Google,"game terbaik, grafik gila, the best lah pkoknya, kalo bisa seringgin lagi bansos nya ya kuro",5,2025-06-25 8:38:00,0,game baik grafik gila the best lah pkoknya kalau seringgin bansos nya kuro,id,0,1,1,0,0,0,0
Pengguna Google,"game sangat baik, hoki terus main ini ga kayak sebelah 🤭",5,2025-06-25 7:51:42,0,game sangat baik hoki terus main tidak kayak belah,id,0,1,0,0,1,0,0
Pengguna Google,dev tambahin bahasa Indonesia dong yakin deh naik,5,2025-06-25 7:43:59,0,dev tambahin bahasa indonesia dong yakin deh naik,id,0,0,0,0,0,0,0
Pengguna Google,"Kurang bisa menikmati story karena nga ada bahasa Indonesianya,tapi selebihnya bagus",4,2025-06-25 6:00:00,0,kurang nikmat story nga bahasa indonesianyatapi lebih bagus,id,0,0,0,0,0,0,0
Pengguna Google,"game gila, hampir sempurna nih game, Cuma kurang bahasa Indonesia aja dan HP Harus spek tinggi biar nyaman mainnya",5,2025-06-25 5:46:52,0,game gila hampir sempurna nih game cuma kurang bahasa indonesia aja hp spek tinggi biar nyaman main,id,0,1,0,0,0,0,0
Pengguna Google,tambahin text bahasa indo please cape mikir,3,2025-06-25 4:46:29,0,tambahin text bahasa indo please cape mikir,id,0,0,0,0,0,0,0
Pengguna Google,gamenya bagus dan juga boss nya enggak terlalu sulit untuk di kalahkan,5,2025-06-25 3:38:31,0,game bagus juga boss nya enggak terlalu sulit di kalah,id,0,1,0,0,0,0,0
Pengguna Google,"Overall gamenya bagus. Grafik memanjakan mata, animasinya keren gila, suka banget sama rover. Game ramah sering kasih bansos, design character unik dan bagus. Story mayan bagus lah tapi bisa di improve lagi biar kayak kakaknya (tapi mayatnya jangan kebanyakan). Ya pokoknya ini game bagus lah. Untuk device yg mid gk rekomen karena gamenya emang berat.",5,2025-06-25 2:12:35,14,overall game bagus grafik manja mata animasi keren gila suka banget sama rover game ramah sering kasih bansos design character unik bagus story mayan bagus lah bisa improve biar kayak kakak mayat jangan banyak pokok game bagus lah device mid rekomen game emang berat,id,0,0,1,0,0,0,0
Pengguna Google,"Hanya bisa mengatakan satu kata ""MANTAP"" utk game yg satu ini. :'v",5,2025-06-24 23:27:21,0,bisa kata satu kata mantap game satu v,id,0,1,0,0,0,0,0
Pengguna Google,"Masih sering blackscreen ketika quest, maksudnya kek kelamaan loadingnya itu lo, internet lancar, hp kuat, bisa"" nya blackscreen selama itu, sebenarnya gpp sih wajar"" aja tapi keseringan gitu risih juga oee",2,2025-06-24 23:21:11,0,sering blackscreen quest maksud kek lama loadingnya lo internet lancar hp kuat nya blackscreen lama benar gpp wajar aja sering risih oee,id,0,1,0,0,0,0,0
Pengguna Google,"ada bug yang di awal septimont tidak bisa di sentuh apk wuwanya, + animasi Dash yang menurut saya pribadi kurang enak di lihat (kaku) udah itu aja kesan saya",3,2025-06-24 22:46:36,0,bug awal septimont bisa sentuh apk wuwanya animasi dash turut pribadi kurang enak di lihat kaku itu aja kesan,id,0,0,0,1,0,0,0
Pengguna Google,waktu saya coba saya tinggikan grafiknya nge lag habis itu di turunkan dan tetap nge lag kalo saya coba di genshin kok tidak nge lag tolong di perbaiki kalo nggak mending genshin aja guys!,2,2025-06-24 22:23:38,0,waktu coba tinggi grafik nge lag habis turun tetap nge lag kalau coba di genshin nge lag di baik kalau mending genshin aja guys,id,0,0,1,0,0,0,0
Pengguna Google,game baik sehat selalu,5,2025-06-24 21:39:27,0,game baik sehat selalu,id,0,1,0,0,0,0,0
Pengguna Google,"overall game nya sangat mantap,satu yang kurang karena GK ada bahasa indonesia.itu aja selebih nya bagus 👍👍👍",5,2025-06-24 19:47:39,0,overall game nya sangat mantapsatu kurang tidak bahasa indonesiaitu aja lebih nya bagus,id,0,1,0,0,0,0,0
Pengguna Google,"grafiknya bagus bngt , walaupun Masi ada beberapa yang harus di perbaiki",5,2025-06-24 18:08:47,0,grafik bagus banget walaupun mas beberapa harus baik,id,0,1,1,0,1,0,0
Pengguna Google,mungkin bisa di optimisasi lagi,4,2025-06-24 18:00:26,0,mungkin di optimisasi,id,0,0,0,0,1,0,0
Pengguna Google,game baik sangat bagus untuk di mainkan 😋😋,5,2025-06-24 17:24:02,0,game baik sangat bagus di main,id,0,1,0,0,0,0,0
Pengguna Google,kenapa tiap login harus compiling shader? aku rasa itu sebuah bug jdi tolong segera di fix,4,2025-06-24 17:05:34,0,tiap login compiling shader aku rasa buah bug jdi segera fix,id,0,0,0,1,0,0,0
Pengguna Google,update septimont terlalu berat apakah saatnya untuk say goodbye utk kedua kalinya kuro:) ntah emg hp nya Uda g mendukung ato emg sinyal servernya yg parah,3,2025-06-24 16:52:26,2,update septimont terlalu berat saat say goodbye dua kali kuro ntah emg hp nya uda g dukung ato emg sinyal servernya parah,id,0,0,0,0,0,0,0
Pengguna Google,Seni. Wujud mahakarya yang terlukis dalam sebuah game 🥀,5,2025-06-24 16:51:08,0,seni wujud mahakarya luk buah game,id,0,1,0,0,0,0,0
