Nama Pengguna,Teks Ulasan,Rating Bintang,Tanggal Ulasan,Jumlah Likes,Ulasan Bersih
Pengguna Google,banyak waifu :v,5,2025-06-20 04:33:27,0,banyak waifu v
Pengguna Google,ini kenapa ada pocong warna warni di quest skirk😭😭😭😭 aku takut😭😭😭,1,2025-06-20 04:15:29,0,kenapa pocong warna warni quest skirk aku takut
Pengguna Google,"I hope it will be better in the future!, Animasi ultinya di bagusin lagi.....",4,2025-06-20 04:08:48,0,i hope it will be better in the future animasi ultinya bagusin
Pengguna Google,tolong....biarkan layla saya pulang,3,2025-06-20 03:42:24,0,tolongbiarkan layla pulang
Pengguna Google,tambahkan fitur skip story.,1,2025-06-20 03:27:26,0,tambah fitur skip story
Pengguna Google,Need tombol SKIP cutscene. ngantuk terus njirrrr maen ini game. jenuh mending main game lain,2,2025-06-20 03:21:44,0,need tombol skip cutscene ngantuk terus njirrrr maen game jenuh mending main game
Pengguna Google,game ini jauh lebih ringan drpd wuthring wave namun lebih sulit kumpulin Primo nya jujur main wuwa snap 685 gak akan bisa tapi ghensin masih bisa walaupun setingan rata kiri😅,5,2025-06-20 02:58:50,0,game jauh lebih ringan drpd wuthring wave lebih sulit kumpulin primo jujur main wuwa snap akan tapi ghensin bisa walaupun ting rata kiri
Pengguna Google,KECEWA BERAT,1,2025-06-20 02:57:09,0,kecewa berat
Pengguna Google,"buatin fitur skip dialog woilah, gem sebelah dikasi kok genshin ga sii",5,2025-06-20 02:52:54,0,buatin fitur skip dialog woilah gem belah kasi genshin sii
Pengguna Google,aku ngestuck di pengunduhan data,1,2025-06-20 02:39:26,0,aku ngestuck unduh data
Pengguna Google,"Data game awalnya sudah terdownload semua, namun genshin tiba-tiba ada update akhirnya harus di-update agar bisa dimainkan lagi. sSetelah di update data tiba-tiba menghilang dan harus download data dalam lagi namun saat ingin mendownload data dalam tidak bisa. Mohon untuk developer untuk meninjau kembali",1,2025-06-20 02:29:26,0,data game awal terdownload semua genshin tibatiba update akhir diupdate main ssetelah update data tibatiba hilang harus download data lagi saat mendownload data tidak bisa mohon developer tinjau
Pengguna Google,game kikir gacha b4 aja gak dapet pucek,1,2025-06-20 02:28:37,0,game kikir gacha b tidak dapet pucek
Pengguna Google,"Dapet skirk di pity 10 + rate off, makasi hoyo ki- baik🥰",5,2025-06-20 02:22:26,0,dapet skirk pity rate off makas hoyo ki baik
Pengguna Google,saya gak bisa ganti email tolong diperbaiki,1,2025-06-20 02:16:02,0,tidak ganti email baik
Pengguna Google,"makin update, makin ga jelas...story flop, animasi ga menarik sm sekali parahnya tombol skip ga ada kita sebagai player di paksa buat nontonin story yg flop sm animasi kaku.",1,2025-06-20 01:48:31,36,makin update makin jelasstory flop animasi tarik sm sekali parah tombol skip ada bagai player paksa buat nontonin story flop sm animasi kaku
Pengguna Google,mantap,5,2025-06-20 01:28:36,0,mantap
Pengguna Google,Ngabisin kouta buat download data pas selesai update malah disuruh download ulang,1,2025-06-20 01:09:16,0,ngabisin kouta buat download data pas selesai update malah suruh download ulang
Pengguna Google,mantap,5,2025-06-20 01:02:44,0,mantap
Pengguna Google,ini game gak jelas!,1,2025-06-20 00:31:41,0,game jelas
Pengguna Google,Mantap sangat baguss dan developer sangat tidak KIKIR,5,2025-06-19 23:27:37,0,mantap sangat baguss developer sangat kikir
Pengguna Google,bagus keren bgt wawawawa,5,2025-06-19 22:43:58,0,bagus keren banget wawawawa
Pengguna Google,karakter kok kaku kayak pocong,1,2025-06-19 22:35:27,0,karakter kaku kayak pocong
Pengguna Google,gatau penn rating aja mumpung mood lagi baik,5,2025-06-19 20:39:51,0,gatau penn rating mumpung mood baik
Pengguna Google,"Improvisasi nya lelet , QoL Mati , Story Writing Boring",1,2025-06-19 19:03:36,0,improvisasi lelet qol mati story writing boring
Pengguna Google,kenapa habis update jadi agak agak ngelag apalagi kalau ada musuh pas coop,4,2025-06-19 17:09:28,0,habis update jadi agak ngelag kalau musuh pas coop
Pengguna Google,keren,5,2025-06-19 17:01:01,0,keren
Pengguna Google,mantap bos ku,5,2025-06-19 16:58:24,0,mantap bos ku
Pengguna Google,kabanyakan drama njirr,4,2025-06-19 16:38:11,0,kabanyakan drama njirr
Pengguna Google,"overall semuanya dah bagus,tapiii updatenya terlalu cepet,di tambah setiap update selalu aja lama,padahal sinyal bagusss,trus juga makin lama makin banyak makan memori jadi buat kita yang punya hal penting tapi mau main dan memo penuh jadi ngurungin niat demi hal penting itu,memo nya di hp 30GB lebih,tolong di kurangin ya,ya iya sih nanti memengaruhi grafik nya juga",5,2025-06-19 16:12:10,0,overall semua dah bagustapiii updatenya terlalu cepetdi tambah update selalu lamapadahal sinyal bagussstrus makin lama makin banyak makan memori jadi buat yang punya penting mau main memo penuh jadi ngurungin niat hal penting itumemo hp gb lebihtolong rangin yaya iya pengaruh grafik
Pengguna Google,ok,5,2025-06-19 15:52:34,0,
Pengguna Google,"bjirrr sakit bet min tembus ini sampe ke dada,pas gacha di banner chronicled,di kasih yoimiya",3,2025-06-19 15:38:45,0,bjirrr sakit bet min tembus sampe dadapas gacha banner chronicleddi kasih yoimiya
Pengguna Google,kasian sekali sapi perah hoyo ini,1,2025-06-19 15:38:21,0,kasi sekali sapi perah hoyo
Pengguna Google,graphic nya tetap stabil dan tidak terlalu leg jika dibandingkan dengan RPG lain,5,2025-06-19 15:18:32,0,graphic tetap stabil tidak terlalu leg banding rpg
Pengguna Google,kapan animenya rilis... mihoyo? :),4,2025-06-19 15:01:13,0,kapan animenya rilis mihoyo
Pengguna Google,geme dah bagus grafik juga bagus tolong kurangi data nya. yg hp kentang jangan di download,5,2025-06-19 14:52:23,0,geme dah bagus grafik bagus kurang data hp kentang jangan download
Pengguna Google,game nya bagus,5,2025-06-19 14:50:56,0,game bagus
Pengguna Google,"seru, cuman hoyo pelit HAHAHAHHA",4,2025-06-19 14:48:37,0,seru cuman hoyo pelit hahahahha
Pengguna Google,good game tapi kikir :P,5,2025-06-19 14:35:09,1,good game kikir p
Pengguna Google,VA PAIMON DI VERSI 5.7 JELEK BANGET!!! KYK LAGI MEMBACA.. GA DAPAT EMOSIONAL NYA!!!.. PENGALAMAN BERMAIN TERASA KURANG SEKALI!!!!,1,2025-06-19 14:22:36,0,va paimon versi jelek banget kyk baca dapat emosional alam main asa kurang sekali
Pengguna Google,"game santai enak combat battle variasi udh 4 bln main baru sampe arc natlan bukan karna nggak niat main tapi emg nggak terlalu banyak waktu main tidak bisa skip dialog minimal laju percakapannya bisa dicepetin 2x item masih gampang dicari meskipun nggak sebagus Player top up, gacha rate buruk apapun caranya kalau lagi nggak hoki ya dptnya pasti jelek jir malas we,",5,2025-06-19 13:49:05,0,game santai enak combat battle variasi udh bln main baru sampe arc natlan bukan karna niat main emg terlalu banyak waktu main skip dialog minimal laju cakap bisa dicepetin x item gampang cari meski bagus player top up gacha rate buruk apa cara kalau nggak hoki dptnya jelek jir malas we
Pengguna Google,game yg palin seru sepanjang masa😆👍,5,2025-06-19 13:45:15,0,game palin seru panjang masa
Pengguna Google,game nya udah bagus kurangnya game ini gak bisa mabar,5,2025-06-19 13:39:44,0,game udah bagus kurang game tidak mabar
Pengguna Google,game nya bagus,5,2025-06-19 13:37:27,0,game bagus
Pengguna Google,bingung mau tulis apa. intinya bintang 5,5,2025-06-19 13:25:56,0,bingung mau tulis apa inti bintang
Pengguna Google,Gajelas udah top up 400 ribu lebih malah dapetnya tighnari di banner skirk,1,2025-06-19 13:05:09,0,gajelas udah top up ribu lebih malah dapetnya tighnari banner skirk
Pengguna Google,"sumpah, game ini makin lama makin bosan dan bikin ngantuk, dan mau jalanin quest char tapi yapping nya beberapa jam malah sedikit primo nya yang di dapat, udah gitu untuk upgrade char maupun lvl ascend, atau talenta aja kalau mau ditotalkan jadi mahalnya gak ngotak, gak ada juga event perminggu nya pula, yah mau gimana, namanya juga bersyukur impact, disuruh bersyukur lagi",1,2025-06-19 13:04:20,0,sumpah game makin lama makin bosan bikin ngantuk mau jalanin quest char yapping beberapa jam malah sedikit primo di udah gitu upgrade char maupun lvl ascend talenta kalau mau total jadi mahal ngotak ada event minggu yah mau gimana nama syukur impact suruh syukur
Pengguna Google,"game ini akan bagus jika developernya mendengarkan masukan pemainnya, namun sayang game ini seakan-akan di anak tirikan dibandingkan game hoyoverse lainnya, feedback pemain malah diabaikan",1,2025-06-19 12:48:57,13,game akan bagus developer dengar masuk main sayang game seakanakan anak tiri banding game hoyoverse lain feedback main malah abai
Pengguna Google,"saran, gamenya jadikan lebih ringan biar lebih nyaman pada saat bermain",5,2025-06-19 12:44:59,0,saran gamenya jadi lebih ringan biar lebih nyaman saat main
Pengguna Google,update besar story gak menarik untuk saat ini pity hard gak rekomendasi buat player gratisan. anying story kaya gelembung sahabat di Spongebob,1,2025-06-19 12:04:39,0,update besar story tarik saat pity hard rekomendasi buat player gratis anying story kaya gelembung sahabat spongebob
Pengguna Google,game nya seru bnget gak bikin setres di mainkan tapi ukuran game ny bikin setres,5,2025-06-19 12:02:34,0,game seru bnget bikin tres main ukur game ny bikin tres
Pengguna Google,lazy developer,1,2025-06-19 12:02:20,0,lazy developer
Pengguna Google,dapet QIQI anjeng,1,2025-06-19 11:39:06,0,dapet qiqi anjeng
Pengguna Google,"Hoyo, jadi gini.. aku mau pull Citlali pls kasi aku menang rate off, terus selanjutnya aku mau pull Furina sama Signature nya Splendor ya jgn weapon lain PLS HOYOVERSE",5,2025-06-19 11:08:47,0,hoyo jadi gin aku mau pull citlali pls kasi aku menang rate off terus lanjut aku mau pull furina sama signature splendor jgn weapon pls hoyoverse
Pengguna Google,game kikir,5,2025-06-19 11:01:04,0,game kikir
Pengguna Google,"g gua maaf y anjg, udh nunggu download data 7 jam.. malah ngulang lagi. aku tungguin pdhl..",5,2025-06-19 10:50:11,0,g gua maaf y anjg udh nunggu download data jam malah ngulang aku tungguin pdhl
Pengguna Google,"keren lah grafiknya menggoda😋, tapi bansos primonya yang sering plss😭",5,2025-06-19 10:32:57,0,keren lah grafik goda bansos primonya sering plss
Pengguna Google,"gamenya seru bgt...tapi, memoriku mati😌",5,2025-06-19 10:10:39,0,gamenya seru bgttapi memori mati
Pengguna Google,I'M SOOO EXCITED FOR SKIRK IM GONNA EXPLODE FROM EXCITEMRNT😫😫😫,5,2025-06-19 09:49:48,0,im sooo excited for skirk im gonna explode from excitemrnt
Pengguna Google,untuk grafik & karakter udh bagus cuma datanya terlalu besar hingga loading ke game nya lama. semoga bapak hoyoverse mengurangi data🙏🏻,4,2025-06-19 09:49:19,0,grafik karakter udh bagus cuma data terlalu besar hingga loading game lama moga bapak hoyoverse kurang data
Pengguna Google,"grafiknya cukup bagus, dan bagus. saya suka dengan karakter saya, bagus juga. yang paling bagus menurutku sih, grafiknya. epep menangis melihat ini",5,2025-06-19 09:44:16,0,grafik cukup bagus bagus suka karakter bagus yang paling bagus turut grafik epep menang lihat
Pengguna Google,mantap,5,2025-06-19 09:39:50,0,mantap
Pengguna Google,scam,1,2025-06-19 09:27:17,0,scam
Pengguna Google,baguss bangett🤩🤩,5,2025-06-19 09:17:28,0,baguss bangett
Pengguna Google,"dev pemalas, scene dainsleif vs haden aja tanpa cutscene, malah nyorot batu geter geter apaan coba. laziest dev ever",1,2025-06-19 08:50:16,0,dev malas scene dainsleif vs haden tanpa cutscene malah nyorot batu geter geter apa coba laziest dev ever
Pengguna Google,gamenya kadang pelit kadang kagak itu doang,5,2025-06-19 08:49:33,0,gamenya kadang pelit kadang kagak doang
Pengguna Google,TOLONG KASIH LEBIH BANYAK BANSOS PRIMOGEM UNTUK F2P PLAYER,5,2025-06-19 08:31:42,0,kasih lebih banyak bansos primogem fp player
Pengguna Google,"Spiral abyss sulit, bansos sulit, pity gacha tinggi, artefak busuk, world lvl 9 drop boss kebanyakan cuma 3, harusnya ada rate up drop artefak tertentu untuk karakter limitied rate up saat ini. Udah mau sampe region akhir masih aja kikir impact",1,2025-06-19 08:26:12,3,spiral abyss sulit bansos sulit pity gacha tinggi artefak busuk world lvl drop boss banyak cuma harus rate up drop artefak tentu karakter limitied rate up ini udah mau sampe region akhir saja kikir impact
Pengguna Google,cukup bagus dari explorenya tapi reward nya tersa kurang sih,5,2025-06-19 07:52:57,0,cukup bagus explorenya reward tersa kurang
Pengguna Google,bagus,5,2025-06-19 07:38:28,0,bagus
Pengguna Google,"Tombol skip dialog? helloww, rotasi masih berantakan aja banyak cincong. justru game ini mahal karna story / lore nya. buat lu semua para kaum skap skip mending maen epep atau maen Uler aja yang tanpa dialog scene. dan satu kata dari gw : Dongo ✨",5,2025-06-19 07:35:08,0,tombol skip dialog helloww rotasi beranta banyak cincong justru game mahal karna story lore buat lu semua kaum skap skip mending maen epep maen uler yang dialog scene satu kata gw dongo
Pengguna Google,"jd males main genshin , td udh unduh selama 2jam udh berhasil masuk liat ada event apa dll , pas login ulang malah di suruh unduh ulang mana sampah quest yg udh di selesaikan kgk bisa di hapus jd memori kepenuhan pensi lah klo begini",1,2025-06-19 06:36:02,1,jd males main genshin td udh unduh lama jam udh hasil masuk liat event apa pas login ulang malah suruh unduh ulang mana sampah quest udh selesai kgk di hapus jd memori penuh pensi lah klo begini
Pengguna Google,percuma kalo ada artefak transmuter ada kalo ujung2 stat yang kita pilih gak naik pas diupgrade,1,2025-06-19 06:34:32,1,percuma kalau artefak transmuter kalau ujung stat kita pilih naik pas diupgrade
Pengguna Google,game rakus jangan dowload game ini di game ini akan sangat sulit kalok gak punya duit masak untuk dapatin karakter bintang lima harus 90 kali spin itu pun cuma satu game rakus makan duit buang buang waktu itu julukan paling tepat untuk ini game. dan ini game gak cocok buat anak karna mengandung 18 di sisi pakaian nya game jorok rakus lagi,1,2025-06-19 06:10:50,0,game rakus jangan dowload game game akan sangat sulit kalok punya duit masak dapatin karakter bintang lima kali spin pun cuma satu game rakus makan duit buang buang waktu juluk paling tepat ini game ini game cocok buat anak karna kandung di sisi pakai game jorok rakus
Pengguna Google,game sangat seru,5,2025-06-19 06:07:11,0,game sangat seru
Pengguna Google,I think this game need more perfomance boost,1,2025-06-19 05:51:21,0,i think this game need more perfomance boost
Pengguna Google,30k primo cuma dapat 1 karakter limited..rate off hard pitty rate on hard pitty..banner senjata sama aja rate off hard pitty..rate on cuma cuma 32x gacha..keterlaluan sistem gacha lu game kikir..,1,2025-06-19 05:47:54,0,k primo cuma karakter limitedrate off hard pitty rate on hard pittybanner senjata sama rate off hard pittyrate on cuma cuma x gachaketerlaluan sistem gacha lu game kikir
Pengguna Google,minimal kalau banyak yaping reward nya menyesuaikan lah ini 1 quest yaping 10 jam reward dpt 10 juga apalah,1,2025-06-19 05:38:15,0,minimal kalau banyak yaping reward sesuai lah quest yaping jam reward dpt apa
Pengguna Google,game nya bagus dan seru,5,2025-06-19 05:31:39,0,game bagus seru
Pengguna Google,tolong konten end game khususnya spiral abys jangan di buat terlalu sulit,1,2025-06-19 05:27:45,0,konten end game khusus spiral abys jangan buat terlalu sulit
Pengguna Google,"dari segi gameplay, grafik, mekanik, okelah bintang 5. terimakasih banyak mihoyo, akhirnya saya bisa dapat zhongli, kazuha, neuvillette",5,2025-06-19 05:19:46,0,segi gameplay grafik mekanik oke bintang terimakasih banyak mihoyo akhir bisa zhongli kazuha neuvillette
Pengguna Google,loading datanya lama☹️,3,2025-06-19 05:18:14,0,loading data lama
Pengguna Google,Gamenya keren bagus map nya luas tempat ny keren2 dan story yg menarik dan kalau bisa tambahkan fitur skip text,1,2025-06-19 05:09:28,2,gamenya keren bagus map luas tempat ny keren story tarik kalau tambah fitur skip text
Pengguna Google,quest nya muter muter doang dan banyak ngebahas hal gk penting kalo bisa untuk quest kedepannya lebih to the point aja. sama kurang kurangin kikirnya.,3,2025-06-19 04:50:13,0,quest muter muter doang banyak ngebahas gk penting kalau untuk quest depan lebih to the point sama kurang rangin kikir
Pengguna Google,Game kikir,5,2025-06-19 04:42:30,0,game kikir
Pengguna Google,"Belakangan ini genshin sering ngeframe, lagging, suara tersendat-sendat. Padahal device masih ok aja, semakin update semakin ngeframe",4,2025-06-19 04:11:32,0,belakang genshin sering frame lagging suara tersendatsendat padahal device ok makin update makin frame
Pengguna Google,"Aku sayang hoyo, aku sayang genshin. Pleaseee adain fitur skip dialog",5,2025-06-19 04:07:16,0,aku sayang hoyo aku sayang genshin pleaseee adain fitur skip dialog
Pengguna Google,"Kalo resin bisa di tabung kaya game sebelah kayanya enak,. dari awal main bisa nabung,. jadi resin yg GK kepake GK kebuang sia²,.. sama percakapan quest story character KLO bisa Adain fitur skip,. soalnya GK pnting malah banyak percakapan bertele²!!! kikir impact",3,2025-06-19 03:46:30,0,kalau resin di tabung kaya game belah kaya enak awal main nabung jadi resin gk kepake gk buang sia sama cakap quest story character klo adain fitur skip soal gk pnting malah banyak cakap tele kikir impact
Pengguna Google,game sudah 5 thn dan pendapatan salah satu yg tertinggi tapi gak ada inovasi,1,2025-06-19 03:45:10,0,game thn dapat salah satu tinggi tidak inovasi
Pengguna Google,untuk genshin impact tolong banget original resin nya di tambah kan lagi🙏,5,2025-06-19 03:42:12,1,genshin impact banget original resin tambah kan
Pengguna Google,Kasih fitur skip,1,2025-06-19 03:36:41,0,kasih fitur skip
Pengguna Google,game scam,1,2025-06-19 03:35:56,0,game scam
Pengguna Google,i loveeeeeeeeeee 🤍🤍,5,2025-06-19 03:24:40,0,i loveeeeeeeeeee
Pengguna Google,gamenya keren bngt jir 🗿 Grafiknya gk ngotak HD bet game kedua terlaris lagi Tapi dibawah Roblox klo main di PC/laptop windows 11 makin HD gk kayak game epep ga ada pintu di ini ad pintu di epep gk ad,5,2025-06-19 03:11:32,0,gamenya keren bngt jir grafik gk ngotak hd bet game dua laris tapi bawah roblox klo main pclaptop windows makin hd gk kayak game epep ada pintu ini ad pintu epep gk ad
Pengguna Google,Asik,5,2025-06-19 02:41:24,0,asik
Pengguna Google,gak bisa skip sama bikin ngantuk tapi gw suka c....,1,2025-06-19 02:40:28,0,bisa skip sama bikin ngantuk gw suka c
Pengguna Google,GAME KIKIR,1,2025-06-19 02:39:12,0,game kikir
Pengguna Google,"tolong add karakter cowok please...tiap hari karakter cewek mulu, malah karakter cewek lebih kuat dari cowok ,aneh banget, tolong kasih fanservice ke player cewek juga lah, lama2 pensi smua tinggal player cowok...",1,2025-06-19 02:14:08,0,add karakter cowok pleasetiap hari karakter cewek mulu malah karakter cewek lebih kuat cowok aneh banget kasih fanservice player cewek lah lama pensi smua tinggal player cowok
Pengguna Google,game terbaik,5,2025-06-19 01:51:29,0,game baik
Pengguna Google,"kikir impact,game kikir",1,2025-06-19 01:40:54,0,kikir impactgame kikir
Pengguna Google,"Saran. tambahkan fitur untuk membuat cinematic, yang dimana kita dapat membuat video pada gameplay nya, posisi kamera yang kita bisa ubah ubah perspektif nya, kami sangat membutuhkan fitur itu",4,2025-06-19 01:35:42,0,saran tambah fitur buat cinematic mana dapat buat video gameplay posisi kamera kita ubah ubah perspektif sangat butuh fitur
Pengguna Google,"tolong woi masa update Ga bisa di download giliran gw download game lain bisa aja, masa Ya harus install ulang anj tlol",2,2025-06-19 01:11:28,0,woi masa update bisa download gilir gw download game bisa masa harus install ulang anj tlol
Pengguna Google,"seru, cuman akun lama hilang tiba-tiba, jadi ini ngulang lagi dari awal, mana udh banyak char B5 nya 🥲",5,2025-06-19 00:56:29,0,seru cuman akun lama hilang tibatiba jadi ngulang dari awal mana udh banyak char b
Pengguna Google,"Gamenya bagus cuma saat masuk domain reminiscent drift kyk error gitu gk bisa di apa-apa kan, jdi mohon di perbaiki🙏🙏",5,2025-06-19 00:54:51,0,gamenya bagus cuma masuk domain reminiscent drift kyk error gitu gk apaapa kan jdi mohon di baik
Pengguna Google,plis kasih gweh skirk,5,2025-06-19 00:05:17,0,plis kasih gweh skirk
Pengguna Google,"pelit sekali Primo nya bang, tidak ramah f2p",1,2025-06-18 23:43:25,0,pelit sekali primo bang ramah fp
Pengguna Google,"Better lah ya (edit) :, makasih buat setahun lebih nya :')(edit) : gajadi vakum aowkwwowk (edit) : vakum beneran (udah sebulan kebih :(.)",5,2025-06-18 23:33:51,0,better lah edit makasih buat tahun lebih edit gajadi vakum aowkwwowk edit vakum beneran udah bulan kebih
Pengguna Google,"sangat susah untuk mendapatkan artifact yang kita inginkan,story membosankan dan tidak ada tombol skip",1,2025-06-18 23:27:15,0,sangat susah dapat artifact kita inginkanstory bosan tidak tombol skip
Pengguna Google,bagus gamenya,5,2025-06-18 22:47:52,0,bagus gamenya
Pengguna Google,"apalah pindah genre romance, gajelas pula",1,2025-06-18 22:44:22,0,apa pindah genre romance gajelas
